8893 東証JQS (株)新日本建物（不動産業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2016-01-04","151","151","147","147","43700","147"
"2016-01-05","146","147","144","147","21100","147"
"2016-01-06","146","152","143","146","142500","146"
"2016-01-07","144","147","140","140","84300","140"
"2016-01-08","138","142","137","137","39000","137"
"2016-01-12","139","141","130","131","164400","131"
"2016-01-13","135","137","134","135","17400","135"
"2016-01-14","135","135","128","132","106600","132"
"2016-01-15","131","137","131","132","121400","132"
"2016-01-18","125","133","124","129","66100","129"
"2016-01-19","130","139","130","131","29700","131"
"2016-01-20","132","132","124","124","77900","124"
"2016-01-21","126","130","118","118","123400","118"
"2016-01-22","124","127","122","127","67600","127"
"2016-01-25","131","133","128","132","64900","132"
"2016-01-26","130","132","129","129","22600","129"
"2016-01-27","134","134","132","133","35600","133"
"2016-01-28","132","134","131","133","19800","133"
"2016-01-29","133","144","131","143","272400","143"
"2016-02-01","159","178","154","162","1204800","162"
"2016-02-02","162","162","145","157","419500","157"
"2016-02-03","150","151","143","147","165400","147"
"2016-02-04","144","150","140","141","204600","141"
"2016-02-05","140","144","136","143","177800","143"
"2016-02-08","138","141","132","138","111600","138"
"2016-02-09","133","133","128","128","146100","128"
"2016-02-10","130","131","122","124","150200","124"
"2016-02-12","119","120","109","109","237400","109"
"2016-02-15","120","123","116","122","110200","122"
"2016-02-16","123","128","122","123","106400","123"
"2016-02-17","123","125","120","121","117300","121"
"2016-02-18","125","126","123","126","73800","126"
"2016-02-19","122","127","122","125","77800","125"
"2016-02-22","127","130","126","130","56600","130"
"2016-02-23","132","132","125","125","95700","125"
"2016-02-24","125","132","124","130","87000","130"
"2016-02-25","131","132","130","132","54200","132"
"2016-02-26","131","133","129","130","37500","130"
"2016-02-29","128","131","127","128","135100","128"
"2016-03-01","127","128","124","126","75700","126"
"2016-03-02","128","131","128","131","112900","131"
"2016-03-03","130","135","130","133","101500","133"
"2016-03-04","134","136","133","135","92900","135"
