7224 東証1部 新明和工業(株)（輸送用機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","1310","1316","1270","1278","440000","1278"
"2019-01-07","1300","1316","1285","1288","529800","1288"
"2019-01-08","1300","1340","1299","1318","400400","1318"
"2019-01-09","1452","1459","1383","1408","487300","1408"
"2019-01-10","1391","1406","1373","1375","321500","1375"
"2019-01-11","1387","1397","1347","1350","189900","1350"
"2019-01-15","1331","1354","1326","1342","266600","1342"
"2019-01-16","1342","1344","1329","1342","209800","1342"
"2019-01-17","1343","1348","1323","1327","212300","1327"
"2019-01-18","1338","1363","1329","1357","222000","1357"
"2019-01-21","1366","1380","1359","1378","222100","1378"
"2019-01-22","1490","1493","1462","1478","1819500","1478"
"2019-01-23","1475","1476","1463","1465","1089500","1465"
"2019-01-24","1464","1473","1462","1464","776000","1464"
"2019-01-25","1464","1479","1464","1473","658800","1473"
"2019-01-28","1475","1482","1466","1475","722100","1475"
"2019-01-29","1472","1478","1468","1478","530000","1478"
"2019-01-30","1473","1480","1469","1473","769900","1473"
"2019-01-31","1474","1478","1467","1468","881000","1468"
"2019-02-01","1472","1489","1470","1478","1030700","1478"
"2019-02-04","1476","1486","1470","1485","688500","1485"
"2019-02-05","1484","1488","1478","1488","425200","1488"
"2019-02-06","1488","1493","1477","1479","497900","1479"
"2019-02-07","1476","1483","1469","1480","518800","1480"
"2019-02-08","1476","1480","1471","1473","744600","1473"
"2019-02-12","1470","1488","1458","1470","831200","1470"
"2019-02-13","1468","1477","1462","1463","1596600","1463"
"2019-02-14","1463","1470","1436","1461","2737500","1461"
"2019-02-15","1457","1459","1412","1427","665500","1427"
"2019-02-18","1428","1434","1388","1388","1005000","1388"
"2019-02-19","1394","1400","1333","1338","1332900","1338"
"2019-02-20","1338","1338","1310","1319","625000","1319"
"2019-02-21","1341","1413","1340","1391","1583800","1391"
"2019-02-22","1365","1377","1364","1368","502900","1368"
"2019-02-25","1373","1391","1372","1384","223800","1384"
"2019-02-26","1378","1393","1373","1388","293600","1388"
"2019-02-27","1403","1426","1395","1398","608700","1398"
"2019-02-28","1387","1403","1377","1389","307900","1389"
"2019-03-01","1380","1398","1376","1376","200600","1376"
"2019-03-04","1382","1399","1377","1390","247300","1390"
"2019-03-05","1382","1396","1376","1379","320100","1379"
"2019-03-06","1373","1377","1366","1370","264200","1370"
"2019-03-07","1362","1370","1348","1351","341100","1351"
"2019-03-08","1336","1352","1333","1341","372100","1341"
"2019-03-11","1344","1361","1331","1344","268700","1344"
"2019-03-12","1365","1368","1328","1332","709600","1332"
"2019-03-13","1330","1348","1300","1309","1333000","1309"
"2019-03-14","1330","1340","1314","1334","318400","1334"
"2019-03-15","1335","1361","1332","1344","335400","1344"
"2019-03-18","1348","1364","1346","1359","273700","1359"
"2019-03-19","1355","1356","1340","1341","191800","1341"
"2019-03-20","1349","1366","1344","1361","321200","1361"
"2019-03-22","1361","1364","1344","1356","203200","1356"
"2019-03-25","1344","1346","1323","1339","377300","1339"
"2019-03-26","1350","1365","1340","1360","385900","1360"
"2019-03-27","1347","1364","1339","1362","406800","1362"
"2019-03-28","1364","1370","1352","1369","687300","1369"
"2019-03-29","1371","1381","1363","1376","253200","1376"
"2019-04-01","1392","1433","1387","1416","588500","1416"
"2019-04-02","1435","1440","1413","1415","284000","1415"
"2019-04-03","1422","1426","1410","1423","232200","1423"
"2019-04-04","1427","1436","1422","1431","204100","1431"
"2019-04-05","1433","1434","1415","1418","185600","1418"
"2019-04-08","1416","1418","1395","1401","145800","1401"
"2019-04-09","1386","1393","1368","1386","226300","1386"
"2019-04-10","1365","1372","1354","1355","163900","1355"
"2019-04-11","1358","1365","1352","1356","103000","1356"
"2019-04-12","1366","1366","1345","1348","96500","1348"
"2019-04-15","1374","1383","1361","1383","193100","1383"
