7751 東証1部 キヤノン(株)（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2015-01-05","3825","3830","3744.5","3787","4351900","3787"
"2015-01-06","3700","3713","3689","3690.5","5429100","3690.5"
"2015-01-07","3678","3702","3663.5","3676.5","3610300","3676.5"
"2015-01-08","3711","3726.5","3683","3709.5","3727900","3709.5"
"2015-01-09","3765.5","3785","3690","3715.5","4534800","3715.5"
"2015-01-13","3700","3752.5","3685","3752.5","4616900","3752.5"
"2015-01-14","3710","3749","3701","3738","4081500","3738"
"2015-01-15","3755.5","3819","3751","3802.5","3864200","3802.5"
"2015-01-16","3726.5","3766","3708","3757.5","3659900","3757.5"
"2015-01-19","3790","3808.5","3776","3787.5","2830800","3787.5"
"2015-01-20","3817","3852","3806","3850","3775200","3850"
"2015-01-21","3866","3918","3850","3913.5","4925500","3913.5"
"2015-01-22","3901.5","3904","3851.5","3880.5","2593800","3880.5"
"2015-01-23","3905","3907.5","3876.5","3900","2821800","3900"
"2015-01-26","3845","3888.5","3841","3884.5","2578400","3884.5"
"2015-01-27","3922","3948.5","3912","3935","4368800","3935"
"2015-01-28","3880.5","3950","3880","3942.5","3754500","3942.5"
"2015-01-29","3800","3800","3734","3741","10368100","3741"
"2015-01-30","3759","3769.5","3740.5","3740.5","4772600","3740.5"
"2015-02-02","3700","3722.5","3670","3712.5","3519600","3712.5"
"2015-02-03","3724","3725","3657","3669.5","4979900","3669.5"
"2015-02-04","3699","3725","3684.5","3708.5","4770200","3708.5"
"2015-02-05","3702.5","3704.5","3653.5","3669","4848700","3669"
"2015-02-06","3712","3726.5","3691","3716","4185600","3716"
"2015-02-09","3746.5","3756","3711.5","3732.5","3572700","3732.5"
"2015-02-10","3725","3771","3725","3771","3257300","3771"
"2015-02-12","3880","3895","3822","3835","6493100","3835"
"2015-02-13","3813","3833","3800","3812.5","4390500","3812.5"
"2015-02-16","3834","3839","3811","3821.5","2912100","3821.5"
"2015-02-17","3813","3820.5","3800","3803","3156300","3803"
"2015-02-18","3832","3836.5","3800.5","3801","4610200","3801"
"2015-02-19","3801","3828.5","3787.5","3816.5","4540000","3816.5"
"2015-02-20","3820","3843","3820","3832.5","3639500","3832.5"
"2015-02-23","3850","3863.5","3827.5","3843","3424800","3843"
"2015-02-24","3840","3868.5","3822","3868.5","3864700","3868.5"
"2015-02-25","3890.5","3895","3856","3869","3144700","3869"
"2015-02-26","3872","3882","3840","3882","3655300","3882"
"2015-02-27","3897","3897","3863.5","3889","4349700","3889"
"2015-03-02","3900","3915","3890","3897","3207400","3897"
"2015-03-03","3910","3914.5","3882","3906","3596400","3906"
"2015-03-04","3900","3906","3861","3900.5","3503700","3900.5"
"2015-03-05","3885.5","3920","3883","3920","2875400","3920"
"2015-03-06","3920","4000","3920","4000","6373300","4000"
"2015-03-09","3995","3996","3955","3978.5","3417000","3978.5"
"2015-03-10","3998.5","3998.5","3968","3990.5","4629700","3990.5"
"2015-03-11","3980","4009.5","3971","3984.5","3928500","3984.5"
"2015-03-12","4000","4008","3981","4002","3448800","4002"
"2015-03-13","4010","4020","3986.5","4003.5","8089000","4003.5"
"2015-03-16","4001.5","4005.5","3985","3985","3106300","3985"
"2015-03-17","4005","4085","4002.5","4062.5","5470800","4062.5"
"2015-03-18","4067.5","4147","4051","4134","6046000","4134"
"2015-03-19","4149.5","4162.5","4053","4122","5403400","4122"
"2015-03-20","4100","4166.5","4044","4166.5","4671100","4166.5"
"2015-03-23","4195","4223","4170","4213","3758200","4213"
"2015-03-24","4250","4279.5","4181","4211","6670400","4211"
"2015-03-25","4200","4217.5","4152","4204","4549800","4204"
"2015-03-26","4197.5","4213.5","4166","4199.5","4596000","4199.5"
"2015-03-27","4200","4295","4174.5","4253","6390700","4253"
"2015-03-30","4221.5","4287.5","4189.5","4269.5","5429700","4269.5"
"2015-03-31","4300","4309.5","4244.5","4248","5145100","4248"
"2015-04-01","4216","4220","4165.5","4178","5332900","4178"
"2015-04-02","4199","4348.5","4195","4310","7755400","4310"
"2015-04-03","4337.5","4401.5","4333","4401.5","5263900","4401.5"
"2015-04-06","4372.5","4450","4346","4445.5","3940700","4445.5"
"2015-04-07","4466","4500","4428","4460","4540600","4460"
"2015-04-08","4440","4480","4427","4470","4047900","4470"
"2015-04-09","4460.5","4495.5","4457","4491","3654700","4491"
"2015-04-10","4495","4500","4469.5","4469.5","4655500","4469.5"
"2015-04-13","4500","4539","4477","4478","3878900","4478"
"2015-04-14","4494","4517","4477","4508.5","2831300","4508.5"
"2015-04-15","4490","4516","4478.5","4493.5","3148700","4493.5"
"2015-04-16","4465","4486","4433","4471.5","4630100","4471.5"
"2015-04-17","4484","4535.5","4462.5","4521","4826700","4521"
"2015-04-20","4483.5","4519.5","4455","4490.5","2895700","4490.5"
"2015-04-21","4460","4524","4434","4524","5177600","4524"
"2015-04-22","4519.5","4519.5","4442","4456","4812000","4456"
"2015-04-23","4467.5","4486","4442","4449","4269200","4449"
"2015-04-24","4460","4489.5","4430","4476.5","4249200","4476.5"
"2015-04-27","4510","4522","4469","4505.5","3984300","4505.5"
"2015-04-28","4435","4440","4350","4358.5","8044200","4358.5"
"2015-04-30","4300","4341.5","4254.5","4283","6117700","4283"
"2015-05-01","4283","4293.5","4250","4289","3603000","4289"
