1898 東証1部 世紀東急工業(株)（建設業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2016-01-04","602","613","595","600","140500","600"
"2016-01-05","590","601","585","595","146600","595"
"2016-01-06","591","598","585","589","140600","589"
"2016-01-07","585","585","568","571","217500","571"
"2016-01-08","561","580","556","561","225700","561"
"2016-01-12","550","559","541","542","291900","542"
"2016-01-13","545","575","545","573","258400","573"
"2016-01-14","557","568","547","566","269100","566"
"2016-01-15","576","576","550","553","129600","553"
"2016-01-18","538","554","534","551","171300","551"
"2016-01-19","545","553","540","548","149500","548"
"2016-01-20","539","545","510","516","309400","516"
"2016-01-21","500","531","497","498","325800","498"
"2016-01-22","506","531","505","530","185600","530"
"2016-01-25","540","541","528","534","179800","534"
"2016-01-26","526","530","517","523","108700","523"
"2016-01-27","535","543","530","540","126600","540"
"2016-01-28","542","551","539","548","147400","548"
"2016-01-29","548","558","536","555","189200","555"
"2016-02-01","565","578","561","574","171800","574"
"2016-02-02","564","572","561","565","106100","565"
"2016-02-03","553","553","539","540","94400","540"
"2016-02-04","530","539","527","528","105700","528"
"2016-02-05","520","529","513","519","104400","519"
"2016-02-08","511","548","509","546","158600","546"
"2016-02-09","533","533","501","503","283100","503"
"2016-02-10","504","510","470","472","614000","472"
"2016-02-12","449","465","441","448","463100","448"
"2016-02-15","470","478","460","471","362300","471"
"2016-02-16","471","484","461","466","311700","466"
"2016-02-17","461","473","456","460","329800","460"
"2016-02-18","469","479","463","468","337800","468"
"2016-02-19","470","470","462","469","142300","469"
"2016-02-22","472","472","462","467","213700","467"
"2016-02-23","469","473","455","457","208500","457"
"2016-02-24","450","463","447","461","184000","461"
"2016-02-25","461","471","459","467","267500","467"
"2016-02-26","480","480","459","461","302700","461"
"2016-02-29","469","473","458","458","236900","458"
"2016-03-01","459","464","455","458","282000","458"
"2016-03-02","470","471","463","467","332800","467"
"2016-03-03","470","471","467","471","161400","471"
"2016-03-04","470","486","466","485","314300","485"
"2016-03-07","489","491","483","487","266700","487"
"2016-03-08","485","489","473","482","261500","482"
"2016-03-09","476","477","464","465","305000","465"
"2016-03-10","470","482","468","479","192500","479"
"2016-03-11","471","494","471","489","224700","489"
"2016-03-14","497","505","493","500","239000","500"
"2016-03-15","500","500","488","492","234700","492"
"2016-03-16","491","497","488","489","92300","489"
"2016-03-17","494","498","486","489","118200","489"
"2016-03-18","489","492","484","488","147700","488"
"2016-03-22","492","498","486","498","131900","498"
"2016-03-23","500","507","498","502","265900","502"
"2016-03-24","506","513","503","509","281900","509"
"2016-03-25","513","513","491","498","511900","498"
"2016-03-28","500","506","492","500","292700","500"
"2016-03-29","485","491","484","487","215400","487"
"2016-03-30","482","483","472","472","345700","472"
"2016-03-31","475","478","471","471","235300","471"
"2016-04-01","465","470","454","456","306600","456"
"2016-04-04","457","462","449","451","269700","451"
"2016-04-05","449","453","434","436","387400","436"
"2016-04-06","434","440","423","436","284400","436"
"2016-04-07","434","446","434","444","172900","444"
"2016-04-08","437","456","436","451","203100","451"
"2016-04-11","455","457","443","455","175300","455"
"2016-04-12","455","461","451","458","98500","458"
"2016-04-13","464","468","461","467","119800","467"
"2016-04-14","472","479","469","476","197100","476"
"2016-04-15","481","483","471","476","250100","476"
"2016-04-18","482","500","481","495","535600","495"
"2016-04-19","505","509","494","496","271700","496"
"2016-04-20","499","502","490","492","210700","492"
"2016-04-21","500","502","496","498","175300","498"
"2016-04-22","497","502","493","501","309100","501"
"2016-04-25","504","508","499","502","219500","502"
"2016-04-26","503","506","487","497","361500","497"
"2016-04-27","500","501","489","498","131000","498"
"2016-04-28","501","501","481","482","208800","482"
"2016-05-02","465","470","463","466","127400","466"
"2016-05-06","464","469","459","460","94000","460"
"2016-05-09","464","470","463","469","161200","469"
"2016-05-10","467","478","467","475","281500","475"
"2016-05-11","472","503","472","500","518400","500"
"2016-05-12","498","515","498","512","246800","512"
"2016-05-13","514","518","506","512","202600","512"
"2016-05-16","511","516","498","506","154500","506"
"2016-05-17","506","525","506","523","198300","523"
"2016-05-18","528","539","522","539","370800","539"
"2016-05-19","538","538","528","533","141200","533"
"2016-05-20","531","534","526","532","76800","532"
"2016-05-23","532","532","525","528","57800","528"
"2016-05-24","529","536","529","533","111100","533"
"2016-05-25","537","540","528","531","101200","531"
"2016-05-26","538","551","533","546","247000","546"
"2016-05-27","543","543","533","540","171000","540"
"2016-05-30","545","545","536","540","99600","540"
"2016-05-31","541","548","539","546","165700","546"
"2016-06-01","542","550","540","543","98000","543"
"2016-06-02","538","550","533","536","144600","536"
"2016-06-03","532","542","526","529","118400","529"
"2016-06-06","521","532","519","523","128100","523"
"2016-06-07","525","526","515","517","83300","517"
"2016-06-08","517","520","514","519","84200","519"
"2016-06-09","517","517","510","512","86000","512"
"2016-06-10","509","511","502","505","137200","505"
"2016-06-13","493","495","484","488","210500","488"
"2016-06-14","487","490","474","485","154800","485"
"2016-06-15","484","493","481","489","150200","489"
"2016-06-16","490","494","470","473","159100","473"
"2016-06-17","477","487","477","485","148000","485"
"2016-06-20","486","498","485","496","157800","496"
"2016-06-21","495","495","485","492","97800","492"
"2016-06-22","491","492","476","489","169800","489"
"2016-06-23","489","489","476","481","115700","481"
"2016-06-24","489","489","435","452","275900","452"
"2016-06-27","452","481","451","479","220500","479"
"2016-06-28","476","493","470","486","162600","486"
"2016-06-29","487","488","479","483","137300","483"
"2016-06-30","485","491","480","482","203600","482"
"2016-07-01","484","490","480","488","110700","488"
"2016-07-04","486","495","482","491","135100","491"
"2016-07-05","484","490","483","487","36100","487"
"2016-07-06","479","484","474","482","126900","482"
"2016-07-07","478","483","472","476","91000","476"
"2016-07-08","476","478","469","473","175300","473"
"2016-07-11","481","502","477","498","187900","498"
"2016-07-12","510","522","508","512","168900","512"
"2016-07-13","516","524","507","510","162100","510"
"2016-07-14","509","515","509","513","85600","513"
"2016-07-15","519","520","508","514","207500","514"
"2016-07-19","512","518","512","517","55600","517"
"2016-07-20","510","520","510","518","102800","518"
"2016-07-21","522","533","521","530","201200","530"
"2016-07-22","522","527","520","524","55100","524"
"2016-07-25","526","532","522","524","68100","524"
"2016-07-26","525","525","508","514","163300","514"
"2016-07-27","518","521","513","518","116900","518"
"2016-07-28","515","520","508","518","66900","518"
"2016-07-29","516","522","508","520","132900","520"
"2016-08-01","513","513","504","510","155400","510"
"2016-08-02","503","508","495","497","114500","497"
"2016-08-03","481","482","470","476","412100","476"
"2016-08-04","475","483","470","472","193300","472"
"2016-08-05","465","482","465","472","183900","472"
"2016-08-08","505","512","501","509","325500","509"
"2016-08-09","501","502","492","497","194900","497"
"2016-08-10","491","492","485","489","153200","489"
"2016-08-12","489","489","483","485","169400","485"
"2016-08-15","485","487","480","480","94500","480"
"2016-08-16","479","482","478","478","141300","478"
"2016-08-17","472","482","471","482","119100","482"
"2016-08-18","476","484","474","476","210400","476"
"2016-08-19","477","484","476","477","88800","477"
"2016-08-22","477","479","471","474","136300","474"
"2016-08-23","474","475","466","468","169700","468"
"2016-08-24","466","474","461","468","325200","468"
"2016-08-25","471","479","471","477","115000","477"
"2016-08-26","478","479","468","470","152100","470"
