6986 東証1部 双葉電子工業(株)（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","1556","1593","1533","1590","121100","1590"
"2019-01-07","1630","1654","1619","1642","77700","1642"
"2019-01-08","1657","1671","1647","1658","68700","1658"
"2019-01-09","1650","1656","1639","1650","54900","1650"
"2019-01-10","1650","1655","1625","1632","69200","1632"
"2019-01-11","1642","1642","1618","1635","64800","1635"
"2019-01-15","1620","1659","1613","1659","51600","1659"
"2019-01-16","1661","1661","1639","1642","47400","1642"
"2019-01-17","1660","1668","1641","1652","52600","1652"
"2019-01-18","1652","1676","1647","1669","44300","1669"
"2019-01-21","1665","1687","1665","1685","57900","1685"
"2019-01-22","1692","1696","1673","1678","35800","1678"
"2019-01-23","1665","1676","1648","1664","48700","1664"
"2019-01-24","1666","1692","1656","1689","51100","1689"
"2019-01-25","1694","1724","1690","1707","62800","1707"
"2019-01-28","1708","1724","1705","1715","42800","1715"
"2019-01-29","1712","1738","1705","1736","66900","1736"
"2019-01-30","1734","1735","1705","1705","104300","1705"
"2019-01-31","1731","1733","1703","1713","104000","1713"
"2019-02-01","1716","1731","1707","1711","69000","1711"
"2019-02-04","1724","1735","1714","1735","64400","1735"
"2019-02-05","1750","1765","1747","1759","95000","1759"
"2019-02-06","1759","1762","1729","1732","83400","1732"
"2019-02-07","1729","1746","1725","1746","69000","1746"
"2019-02-08","1720","1735","1702","1717","84800","1717"
"2019-02-12","1690","1732","1645","1731","130700","1731"
"2019-02-13","1739","1754","1721","1737","114400","1737"
"2019-02-14","1736","1768","1730","1753","72900","1753"
"2019-02-15","1743","1751","1728","1748","63600","1748"
"2019-02-18","1770","1781","1749","1761","84100","1761"
"2019-02-19","1760","1771","1750","1769","70900","1769"
"2019-02-20","1769","1776","1745","1756","61700","1756"
"2019-02-21","1760","1766","1749","1760","42400","1760"
"2019-02-22","1746","1746","1725","1739","88400","1739"
"2019-02-25","1745","1770","1737","1770","76600","1770"
"2019-02-26","1782","1798","1776","1794","106900","1794"
"2019-02-27","1788","1805","1781","1790","129800","1790"
"2019-02-28","1783","1796","1776","1788","77100","1788"
"2019-03-01","1788","1802","1774","1775","65500","1775"
"2019-03-04","1780","1789","1773","1787","91900","1787"
"2019-03-05","1773","1796","1773","1796","65400","1796"
"2019-03-06","1785","1807","1785","1794","60300","1794"
"2019-03-07","1780","1792","1777","1791","76500","1791"
"2019-03-08","1777","1789","1746","1746","98000","1746"
"2019-03-11","1758","1762","1746","1751","72400","1751"
"2019-03-12","1765","1789","1755","1778","73000","1778"
"2019-03-13","1764","1782","1753","1760","86400","1760"
"2019-03-14","1766","1769","1753","1757","66500","1757"
"2019-03-15","1765","1778","1763","1769","98300","1769"
"2019-03-18","1768","1799","1757","1798","125100","1798"
"2019-03-19","1809","1813","1795","1804","71100","1804"
"2019-03-20","1796","1814","1793","1812","83000","1812"
"2019-03-22","1810","1831","1805","1829","130100","1829"
"2019-03-25","1810","1814","1787","1800","102900","1800"
"2019-03-26","1800","1837","1793","1837","261300","1837"
"2019-03-27","1723","1751","1703","1716","236900","1716"
"2019-03-28","1696","1700","1660","1661","119500","1661"
"2019-03-29","1674","1693","1669","1681","88200","1681"
"2019-04-01","1706","1762","1706","1750","170100","1750"
"2019-04-02","1750","1779","1750","1773","106600","1773"
"2019-04-03","1770","1791","1765","1786","99400","1786"
"2019-04-04","1785","1808","1777","1790","102000","1790"
"2019-04-05","1790","1806","1790","1805","86400","1805"
"2019-04-08","1802","1812","1790","1807","67100","1807"
"2019-04-09","1786","1819","1786","1819","95800","1819"
"2019-04-10","1799","1801","1790","1798","36400","1798"
"2019-04-11","1790","1794","1774","1778","52200","1778"
"2019-04-12","1776","1779","1759","1768","54500","1768"
"2019-04-15","1799","1828","1799","1821","97300","1821"
"2019-04-16","1814","1822","1802","1815","39300","1815"
"2019-04-17","1816","1826","1812","1825","69200","1825"
"2019-04-18","1823","1826","1769","1777","61200","1777"
"2019-04-19","1784","1792","1779","1783","29900","1783"
"2019-04-22","1783","1783","1768","1783","30500","1783"
"2019-04-23","1791","1794","1772","1791","37500","1791"
"2019-04-24","1790","1796","1772","1778","39200","1778"
"2019-04-25","1792","1799","1774","1798","41500","1798"
"2019-04-26","1795","1812","1776","1804","51400","1804"
"2019-05-07","1787","1790","1740","1742","86400","1742"
"2019-05-08","1719","1719","1691","1693","76400","1693"
"2019-05-09","1685","1689","1663","1678","99800","1678"
"2019-05-10","1676","1718","1673","1691","91700","1691"
"2019-05-13","1698","1723","1682","1682","72500","1682"
"2019-05-14","1650","1692","1642","1671","81100","1671"
"2019-05-15","1695","1695","1516","1527","184100","1527"
"2019-05-16","1520","1521","1471","1502","161900","1502"
"2019-05-17","1518","1520","1462","1505","114200","1505"
"2019-05-20","1517","1524","1463","1481","86500","1481"
"2019-05-21","1468","1489","1461","1475","56800","1475"
"2019-05-22","1502","1502","1479","1480","69000","1480"
"2019-05-23","1480","1481","1448","1454","91300","1454"
"2019-05-24","1430","1432","1413","1430","143600","1430"
"2019-05-27","1433","1433","1406","1409","110600","1409"
"2019-05-28","1419","1423","1410","1411","90500","1411"
"2019-05-29","1400","1400","1372","1391","106300","1391"
"2019-05-30","1381","1394","1368","1392","111500","1392"
"2019-05-31","1385","1392","1376","1379","58900","1379"
"2019-06-03","1362","1373","1356","1367","131500","1367"
"2019-06-04","1367","1382","1362","1382","131100","1382"
"2019-06-05","1408","1426","1402","1420","104100","1420"
"2019-06-06","1406","1417","1380","1380","81300","1380"
"2019-06-07","1373","1404","1372","1398","93900","1398"
"2019-06-10","1405","1430","1405","1421","60300","1421"
"2019-06-11","1422","1452","1417","1442","80200","1442"
"2019-06-12","1432","1444","1420","1423","81500","1423"
"2019-06-13","1412","1416","1384","1397","83800","1397"
"2019-06-14","1404","1410","1391","1397","68900","1397"
"2019-06-17","1397","1398","1374","1375","81700","1375"
"2019-06-18","1370","1384","1368","1380","83100","1380"
"2019-06-19","1386","1415","1386","1407","82400","1407"
"2019-06-20","1407","1410","1383","1397","78500","1397"
"2019-06-21","1395","1401","1388","1395","59000","1395"
"2019-06-24","1391","1402","1389","1395","42100","1395"
"2019-06-25","1390","1400","1377","1380","72400","1380"
"2019-06-26","1375","1389","1372","1381","68000","1381"
"2019-06-27","1386","1420","1381","1420","71100","1420"
"2019-06-28","1411","1417","1402","1405","46000","1405"
"2019-07-01","1445","1452","1395","1431","152000","1431"
"2019-07-02","1421","1428","1412","1421","62000","1421"
"2019-07-03","1416","1431","1412","1423","61300","1423"
"2019-07-04","1434","1438","1422","1437","45600","1437"
"2019-07-05","1428","1434","1419","1432","64600","1432"
"2019-07-08","1430","1430","1415","1422","74400","1422"
"2019-07-09","1416","1426","1410","1418","42600","1418"
"2019-07-10","1403","1420","1402","1414","66300","1414"
"2019-07-11","1418","1434","1412","1432","56600","1432"
"2019-07-12","1427","1427","1408","1410","65100","1410"
"2019-07-16","1412","1427","1408","1423","56600","1423"
