7971 東証1部 東リ(株)（化学）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","445","468","444","468","255000","468"
"2018-01-05","468","471","461","462","135800","462"
"2018-01-09","464","464","455","456","86600","456"
"2018-01-10","456","456","445","445","79800","445"
"2018-01-11","445","445","436","437","96300","437"
"2018-01-12","439","443","438","438","66700","438"
"2018-01-15","443","445","441","443","48000","443"
"2018-01-16","448","450","445","445","44900","445"
"2018-01-17","445","449","440","441","63400","441"
"2018-01-18","448","449","442","445","88000","445"
"2018-01-19","440","449","440","447","51600","447"
"2018-01-22","447","447","441","445","53900","445"
"2018-01-23","450","452","447","450","49900","450"
"2018-01-24","450","451","443","443","56300","443"
"2018-01-25","444","444","439","440","41400","440"
"2018-01-26","439","444","439","441","35400","441"
"2018-01-29","445","446","442","444","55000","444"
"2018-01-30","447","448","445","446","85300","446"
"2018-01-31","446","452","435","437","151700","437"
"2018-02-01","436","441","432","438","87000","438"
"2018-02-02","432","436","430","433","83600","433"
"2018-02-05","424","425","398","411","158600","411"
"2018-02-06","371","389","371","383","175900","383"
"2018-02-07","391","401","378","378","131700","378"
"2018-02-08","385","389","381","382","69500","382"
"2018-02-09","372","375","371","374","76700","374"
"2018-02-13","377","379","369","370","61300","370"
"2018-02-14","370","372","360","360","78900","360"
"2018-02-15","367","369","362","366","58700","366"
"2018-02-16","368","382","368","374","80500","374"
"2018-02-19","380","388","380","385","45000","385"
"2018-02-20","387","387","382","387","24300","387"
"2018-02-21","385","390","383","385","44900","385"
"2018-02-22","383","387","382","386","31100","386"
"2018-02-23","388","397","386","396","42000","396"
"2018-02-26","397","400","395","395","46600","395"
"2018-02-27","401","402","393","395","44000","395"
"2018-02-28","393","396","392","392","40800","392"
"2018-03-01","390","390","382","383","74900","383"
"2018-03-02","376","382","376","378","51800","378"
"2018-03-05","378","379","372","373","43300","373"
"2018-03-06","379","385","378","382","52600","382"
"2018-03-07","380","391","377","383","90000","383"
"2018-03-08","386","386","381","383","23300","383"
"2018-03-09","386","389","380","381","67000","381"
"2018-03-12","388","391","387","388","37600","388"
"2018-03-13","389","398","386","396","33300","396"
"2018-03-14","390","392","385","387","65200","387"
"2018-03-15","388","389","384","388","37300","388"
"2018-03-16","390","397","388","395","55300","395"
"2018-03-19","393","393","386","388","29800","388"
"2018-03-20","385","394","385","394","29200","394"
"2018-03-22","394","395","388","392","40700","392"
"2018-03-23","390","390","374","375","71600","375"
"2018-03-26","372","373","364","369","119800","369"
"2018-03-27","373","386","372","385","91400","385"
"2018-03-28","371","377","371","375","42200","375"
"2018-03-29","379","385","374","379","36700","379"
"2018-03-30","383","390","382","389","47600","389"
"2018-04-02","389","392","386","386","17600","386"
"2018-04-03","382","384","377","378","41100","378"
"2018-04-04","383","391","380","389","45200","389"
"2018-04-05","388","393","386","390","35200","390"
"2018-04-06","389","391","382","384","34200","384"
"2018-04-09","384","386","382","384","21600","384"
"2018-04-10","384","391","382","389","30200","389"
"2018-04-11","392","392","385","387","27400","387"
"2018-04-12","387","387","384","385","13800","385"
"2018-04-13","385","389","381","388","32700","388"
"2018-04-16","391","392","386","390","29800","390"
"2018-04-17","390","390","383","386","19200","386"
"2018-04-18","388","389","381","388","46900","388"
"2018-04-19","389","389","377","378","63800","378"
"2018-04-20","376","378","374","376","28900","376"
