6384 東証JQS (株)昭和真空（機械）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2015-01-05","403","410","403","410","2400","410"
"2015-01-06","406","410","400","408","13500","408"
"2015-01-07","402","410","402","410","6600","410"
"2015-01-08","410","418","410","418","3900","418"
"2015-01-09","418","418","403","407","5600","407"
"2015-01-13","410","415","404","404","8800","404"
"2015-01-14","406","415","405","405","4900","405"
"2015-01-15","406","408","406","406","2000","406"
"2015-01-16","405","409","401","406","4100","406"
"2015-01-19","405","405","402","404","13400","404"
"2015-01-20","407","410","398","410","11600","410"
"2015-01-21","402","406","402","406","1600","406"
"2015-01-22","486","486","486","486","12900","486"
"2015-01-23","566","566","566","566","51700","566"
"2015-01-26","666","666","666","666","157700","666"
"2015-01-27","766","866","715","866","2348800","866"
"2015-01-28","940","1016","935","1016","1601300","1016"
"2015-01-29","1196","1316","1070","1133","2360200","1133"
"2015-01-30","1013","1101","902","999","1601500","999"
"2015-02-02","1149","1149","1149","1149","79400","1149"
"2015-02-03","1260","1300","940","944","1700200","944"
"2015-02-04","929","1094","869","1094","1908300","1094"
"2015-02-05","1040","1290","1010","1160","2494300","1160"
"2015-02-06","1218","1270","942","959","1307600","959"
"2015-02-09","982","1069","961","1023","729400","1023"
"2015-02-10","993","1060","910","979","530900","979"
"2015-02-12","950","1129","919","1088","1088200","1088"
"2015-02-13","1088","1167","955","977","804600","977"
"2015-02-16","983","994","915","944","345400","944"
"2015-02-17","953","953","882","910","251000","910"
"2015-02-18","900","914","882","903","161500","903"
"2015-02-19","895","905","882","896","105300","896"
"2015-02-20","885","914","853","901","230900","901"
"2015-02-23","900","901","860","862","127600","862"
"2015-02-24","877","899","863","878","103500","878"
"2015-02-25","873","874","855","859","95300","859"
"2015-02-26","856","888","850","867","100800","867"
"2015-02-27","865","866","853","855","62000","855"
"2015-03-02","852","862","851","851","37900","851"
"2015-03-03","854","854","801","803","104400","803"
"2015-03-04","806","810","763","808","110500","808"
"2015-03-05","823","870","808","861","154100","861"
"2015-03-06","852","940","852","876","370400","876"
"2015-03-09","888","895","826","835","134600","835"
"2015-03-10","836","865","810","813","82700","813"
"2015-03-11","798","845","790","840","78800","840"
"2015-03-12","825","843","814","821","47200","821"
"2015-03-13","806","819","782","798","97300","798"
"2015-03-16","774","776","740","741","125400","741"
"2015-03-17","735","881","723","763","328300","763"
"2015-03-18","753","821","743","812","153300","812"
"2015-03-19","798","815","788","792","45200","792"
"2015-03-20","792","795","776","793","31100","793"
"2015-03-23","788","803","782","785","21200","785"
"2015-03-24","796","797","770","788","41800","788"
"2015-03-25","788","793","750","758","84900","758"
"2015-03-26","750","754","731","741","59200","741"
"2015-03-27","731","742","722","729","29100","729"
"2015-03-30","722","774","722","772","45400","772"
"2015-03-31","757","796","756","769","57900","769"
"2015-04-01","765","781","745","754","24600","754"
"2015-04-02","747","748","704","733","67900","733"
"2015-04-03","703","718","675","694","141000","694"
"2015-04-06","695","695","675","686","33600","686"
"2015-04-07","686","698","675","691","34100","691"
"2015-04-08","691","722","691","709","45900","709"
"2015-04-09","718","718","701","716","39700","716"
"2015-04-10","708","718","696","702","36400","702"
"2015-04-13","712","712","686","695","27200","695"
"2015-04-14","690","707","686","702","28800","702"
"2015-04-15","709","709","698","703","14300","703"
"2015-04-16","705","707","692","704","14000","704"
"2015-04-17","705","707","698","705","16400","705"
"2015-04-20","697","700","690","699","19300","699"
"2015-04-21","699","705","691","703","15400","703"
"2015-04-22","704","745","699","729","115500","729"
"2015-04-23","738","738","708","722","33900","722"
"2015-04-24","725","728","708","728","36100","728"
"2015-04-27","729","730","720","721","13100","721"
"2015-04-28","721","731","705","713","23800","713"
"2015-04-30","711","719","705","714","18200","714"
"2015-05-01","712","712","702","709","10000","709"
"2015-05-07","700","715","700","712","14600","712"
"2015-05-08","714","718","701","718","20600","718"
"2015-05-11","734","757","733","740","50400","740"
"2015-05-12","755","762","724","744","72000","744"
"2015-05-13","649","663","635","643","178900","643"
"2015-05-14","640","641","614","616","56300","616"
"2015-05-15","611","611","589","595","48600","595"
"2015-05-18","591","595","570","580","40400","580"
"2015-05-19","579","591","578","588","25100","588"
"2015-05-20","598","607","598","603","20300","603"
"2015-05-21","563","582","561","580","144900","580"
"2015-05-22","585","589","572","581","18000","581"
"2015-05-25","580","581","570","576","18900","576"
"2015-05-26","574","578","571","578","12600","578"
"2015-05-27","585","594","580","587","18200","587"
"2015-05-28","588","600","588","597","16600","597"
"2015-05-29","596","596","576","593","51000","593"
"2015-06-01","587","594","587","593","5700","593"
"2015-06-02","590","593","586","587","9100","587"
"2015-06-03","589","597","588","596","13400","596"
"2015-06-04","596","611","594","597","20400","597"
"2015-06-05","600","600","592","593","8900","593"
"2015-06-08","600","602","595","597","11100","597"
"2015-06-09","597","604","596","596","6800","596"
"2015-06-10","595","595","570","576","18600","576"
"2015-06-11","579","586","577","578","2700","578"
"2015-06-12","576","578","554","562","64700","562"
"2015-06-15","562","566","561","562","9300","562"
"2015-06-16","563","572","560","560","13900","560"
"2015-06-17","570","574","561","565","3400","565"
"2015-06-18","558","561","533","546","34000","546"
"2015-06-19","550","557","545","548","11900","548"
"2015-06-22","547","556","547","556","26500","556"
"2015-06-23","552","563","542","551","9800","551"
"2015-06-24","556","564","550","551","11900","551"
"2015-06-25","549","562","545","560","7600","560"
"2015-06-26","564","564","552","552","7600","552"
"2015-06-29","540","546","537","538","16500","538"
"2015-06-30","558","558","543","553","10400","553"
"2015-07-01","555","557","547","555","5700","555"
"2015-07-02","556","571","555","564","19500","564"
"2015-07-03","563","566","555","566","7900","566"
"2015-07-06","556","560","551","551","14800","551"
"2015-07-07","554","558","554","555","2300","555"
"2015-07-08","555","555","528","533","20500","533"
"2015-07-09","515","519","467","510","39800","510"
