6384 東証JQS (株)昭和真空（機械）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","1100","1115","1056","1109","17700","1109"
"2019-01-07","1150","1161","1144","1148","17800","1148"
"2019-01-08","1156","1190","1150","1184","20300","1184"
"2019-01-09","1214","1214","1172","1190","15100","1190"
"2019-01-10","1190","1190","1155","1165","10000","1165"
"2019-01-11","1194","1194","1151","1155","12300","1155"
"2019-01-15","1160","1189","1160","1183","14400","1183"
"2019-01-16","1194","1201","1176","1195","10500","1195"
"2019-01-17","1201","1220","1194","1198","9600","1198"
"2019-01-18","1088","1124","1072","1093","141400","1093"
"2019-01-21","1103","1114","1098","1111","54600","1111"
"2019-01-22","1112","1132","1112","1124","26500","1124"
"2019-01-23","1129","1129","1114","1119","10000","1119"
"2019-01-24","1124","1125","1117","1121","7800","1121"
"2019-01-25","1122","1179","1122","1159","26100","1159"
"2019-01-28","1182","1187","1158","1184","18800","1184"
"2019-01-29","1180","1182","1163","1181","14700","1181"
"2019-01-30","1181","1183","1153","1155","27600","1155"
"2019-01-31","1156","1183","1156","1173","8600","1173"
"2019-02-01","1173","1193","1171","1174","12500","1174"
"2019-02-04","1189","1189","1170","1182","7800","1182"
"2019-02-05","1194","1215","1183","1203","18300","1203"
"2019-02-06","1205","1208","1190","1191","9100","1191"
"2019-02-07","1204","1204","1188","1189","6000","1189"
"2019-02-08","1187","1187","1167","1179","20200","1179"
"2019-02-12","1199","1222","1182","1198","26700","1198"
"2019-02-13","1200","1209","1197","1201","3600","1201"
"2019-02-14","1204","1214","1190","1191","14000","1191"
"2019-02-15","1188","1188","1178","1180","8900","1180"
"2019-02-18","1185","1205","1185","1198","13800","1198"
"2019-02-19","1204","1218","1198","1214","9600","1214"
"2019-02-20","1218","1223","1215","1222","10500","1222"
"2019-02-21","1225","1230","1220","1222","8100","1222"
"2019-02-22","1223","1223","1207","1213","16300","1213"
"2019-02-25","1228","1244","1218","1243","13400","1243"
"2019-02-26","1246","1260","1240","1254","12400","1254"
"2019-02-27","1260","1289","1260","1287","13600","1287"
"2019-02-28","1285","1285","1276","1277","8000","1277"
"2019-03-01","1275","1284","1275","1281","10100","1281"
"2019-03-04","1286","1301","1281","1293","15800","1293"
"2019-03-05","1288","1297","1280","1282","8300","1282"
"2019-03-06","1283","1287","1270","1282","9200","1282"
"2019-03-07","1271","1273","1243","1261","14900","1261"
"2019-03-08","1231","1236","1200","1210","20400","1210"
"2019-03-11","1205","1232","1205","1229","8500","1229"
"2019-03-12","1230","1249","1212","1249","17500","1249"
"2019-03-13","1255","1310","1255","1309","31000","1309"
"2019-03-14","1310","1324","1272","1277","20700","1277"
"2019-03-15","1277","1308","1277","1290","18100","1290"
"2019-03-18","1294","1338","1294","1330","27200","1330"
"2019-03-19","1328","1375","1323","1361","99400","1361"
"2019-03-20","1365","1385","1347","1359","39800","1359"
"2019-03-22","1348","1366","1338","1355","27000","1355"
"2019-03-25","1330","1337","1311","1318","31700","1318"
"2019-03-26","1340","1350","1328","1329","31800","1329"
"2019-03-27","1239","1272","1236","1253","37900","1253"
"2019-03-28","1248","1250","1227","1229","16100","1229"
"2019-03-29","1230","1230","1177","1183","25000","1183"
"2019-04-01","1197","1223","1197","1221","14500","1221"
"2019-04-02","1221","1223","1196","1197","10800","1197"
"2019-04-03","1195","1229","1187","1203","15100","1203"
"2019-04-04","1218","1245","1218","1220","15700","1220"
"2019-04-05","1220","1263","1219","1260","27600","1260"
"2019-04-08","1237","1252","1235","1244","13000","1244"
"2019-04-09","1249","1249","1209","1219","6900","1219"
"2019-04-10","1216","1222","1204","1211","12100","1211"
"2019-04-11","1212","1212","1200","1206","8700","1206"
"2019-04-12","1204","1204","1190","1194","5900","1194"
"2019-04-15","1225","1250","1220","1248","22700","1248"
"2019-04-16","1247","1248","1230","1235","13100","1235"
"2019-04-17","1235","1249","1218","1233","13600","1233"
"2019-04-18","1240","1240","1207","1215","12900","1215"
"2019-04-19","1216","1225","1208","1225","6700","1225"
"2019-04-22","1233","1233","1205","1213","9300","1213"
"2019-04-23","1211","1230","1200","1200","8500","1200"
"2019-04-24","1226","1280","1196","1252","72100","1252"
"2019-04-25","1265","1265","1246","1253","6500","1253"
"2019-04-26","1261","1270","1247","1270","12100","1270"
"2019-05-07","1270","1275","1247","1251","13200","1251"
"2019-05-08","1227","1266","1224","1255","32200","1255"
"2019-05-09","1255","1255","1223","1236","6200","1236"
"2019-05-10","1259","1259","1231","1255","12500","1255"
"2019-05-13","1241","1242","1222","1227","7800","1227"
"2019-05-14","1200","1210","1173","1206","13800","1206"
"2019-05-15","1214","1219","1199","1210","12800","1210"
"2019-05-16","1206","1206","1186","1204","24300","1204"
"2019-05-17","1209","1210","1192","1195","9700","1195"
"2019-05-20","1199","1211","1190","1195","12300","1195"
"2019-05-21","1193","1193","1182","1185","12000","1185"
"2019-05-22","1191","1197","1174","1178","17500","1178"
"2019-05-23","1177","1181","1166","1172","8200","1172"
"2019-05-24","1144","1158","1144","1158","8900","1158"
"2019-05-27","1169","1170","1156","1156","9100","1156"
"2019-05-28","1167","1184","1164","1171","4900","1171"
"2019-05-29","1166","1170","1156","1165","4900","1165"
"2019-05-30","1165","1180","1157","1180","2500","1180"
"2019-05-31","1187","1189","1177","1183","5700","1183"
"2019-06-03","1182","1185","1156","1157","17600","1157"
"2019-06-04","1154","1170","1145","1167","6700","1167"
"2019-06-05","1175","1215","1175","1208","20600","1208"
"2019-06-06","1207","1207","1181","1193","10600","1193"
"2019-06-07","1206","1215","1197","1201","4600","1201"
"2019-06-10","1226","1231","1207","1207","8900","1207"
"2019-06-11","1207","1230","1207","1210","9000","1210"
"2019-06-12","1211","1217","1200","1201","5500","1201"
"2019-06-13","1201","1209","1183","1183","12900","1183"
"2019-06-14","1183","1210","1175","1209","3100","1209"
"2019-06-17","1200","1205","1191","1201","3200","1201"
"2019-06-18","1205","1211","1197","1209","3000","1209"
"2019-06-19","1211","1218","1201","1202","6500","1202"
"2019-06-20","1216","1238","1216","1235","4400","1235"
"2019-06-21","1240","1240","1207","1207","6400","1207"
"2019-06-24","1207","1225","1198","1204","7300","1204"
"2019-06-25","1204","1210","1193","1200","9100","1200"
"2019-06-26","1200","1222","1186","1197","3000","1197"
"2019-06-27","1220","1220","1202","1205","4700","1205"
"2019-06-28","1219","1219","1200","1200","3100","1200"
"2019-07-01","1227","1227","1218","1219","8600","1219"
"2019-07-02","1249","1268","1235","1264","31500","1264"
"2019-07-03","1264","1300","1261","1273","28100","1273"
