1898 東証1部 世紀東急工業(株)（建設業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2017-01-04","495","507","494","507","240900","507"
"2017-01-05","506","508","500","503","137700","503"
"2017-01-06","501","506","500","504","88200","504"
"2017-01-10","504","510","501","503","106500","503"
"2017-01-11","503","506","502","506","91300","506"
"2017-01-12","503","505","500","502","133200","502"
"2017-01-13","503","504","501","502","69600","502"
"2017-01-16","502","502","498","500","81700","500"
"2017-01-17","498","498","492","493","117800","493"
"2017-01-18","493","493","488","492","107700","492"
"2017-01-19","493","496","491","495","48300","495"
"2017-01-20","492","497","492","496","71500","496"
"2017-01-23","492","497","492","494","72000","494"
"2017-01-24","493","494","489","490","75200","490"
"2017-01-25","494","495","491","491","112000","491"
"2017-01-26","497","500","496","499","91400","499"
"2017-01-27","502","507","498","506","138100","506"
"2017-01-30","506","507","502","507","77200","507"
"2017-01-31","500","503","496","498","107500","498"
"2017-02-01","494","500","494","495","138400","495"
"2017-02-02","498","499","490","492","117300","492"
"2017-02-03","496","500","491","493","135000","493"
"2017-02-06","498","502","492","493","86500","493"
"2017-02-07","491","493","490","492","71500","492"
"2017-02-08","493","493","490","490","104200","490"
"2017-02-09","490","491","486","489","125300","489"
"2017-02-10","500","508","499","507","309400","507"
"2017-02-13","508","515","508","513","176300","513"
"2017-02-14","515","516","511","511","123800","511"
"2017-02-15","515","518","514","517","81200","517"
"2017-02-16","517","517","509","514","59100","514"
"2017-02-17","511","516","509","514","130900","514"
"2017-02-20","516","516","512","516","48800","516"
"2017-02-21","511","519","511","517","101500","517"
"2017-02-22","513","517","512","513","51600","513"
"2017-02-23","513","515","511","515","58600","515"
"2017-02-24","515","515","510","513","70000","513"
"2017-02-27","513","514","508","511","48300","511"
"2017-02-28","515","515","510","511","64600","511"
"2017-03-01","513","518","511","516","112000","516"
"2017-03-02","519","521","516","518","91200","518"
"2017-03-03","518","521","512","520","96700","520"
"2017-03-06","519","522","515","520","115400","520"
"2017-03-07","516","525","515","524","104200","524"
"2017-03-08","525","539","524","539","219400","539"
"2017-03-09","543","548","539","546","118600","546"
"2017-03-10","548","555","547","552","220800","552"
"2017-03-13","552","562","552","560","131400","560"
"2017-03-14","561","563","553","556","109300","556"
"2017-03-15","555","561","552","560","97400","560"
"2017-03-16","560","560","550","552","110800","552"
"2017-03-17","550","550","541","547","102000","547"
"2017-03-21","547","557","544","556","102400","556"
"2017-03-22","549","560","545","558","153000","558"
"2017-03-23","562","569","562","568","179700","568"
"2017-03-24","572","585","570","583","234900","583"
"2017-03-27","587","588","552","553","231700","553"
"2017-03-28","557","563","553","563","158200","563"
"2017-03-29","558","558","540","543","160000","543"
"2017-03-30","543","547","528","529","96500","529"
"2017-03-31","538","542","531","531","93900","531"
"2017-04-03","534","546","531","543","118800","543"
"2017-04-04","542","542","528","540","193800","540"
"2017-04-05","541","541","525","528","92800","528"
"2017-04-06","527","528","514","524","146300","524"
"2017-04-07","523","529","521","521","77700","521"
"2017-04-10","522","534","522","533","109800","533"
"2017-04-11","533","533","522","523","74800","523"
"2017-04-12","519","519","509","514","102200","514"
"2017-04-13","515","515","501","504","187800","504"
