2428 東証1部 ウェルネット(株)（サービス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2017-01-04","1309","1370","1298","1366","440300","1366"
"2017-01-05","1356","1364","1337","1359","233500","1359"
"2017-01-06","1339","1395","1339","1392","292400","1392"
"2017-01-10","1398","1408","1361","1376","330900","1376"
"2017-01-11","1380","1389","1368","1370","157600","1370"
"2017-01-12","1375","1379","1334","1338","212700","1338"
"2017-01-13","1330","1341","1320","1328","179100","1328"
"2017-01-16","1328","1343","1313","1323","166700","1323"
"2017-01-17","1317","1325","1290","1292","193400","1292"
"2017-01-18","1287","1305","1281","1305","187200","1305"
"2017-01-19","1309","1314","1282","1287","151600","1287"
"2017-01-20","1283","1292","1275","1278","131800","1278"
"2017-01-23","1276","1280","1265","1269","115300","1269"
"2017-01-24","1267","1277","1260","1277","135800","1277"
"2017-01-25","1288","1291","1264","1273","220800","1273"
"2017-01-26","1285","1286","1270","1278","167400","1278"
"2017-01-27","1280","1295","1267","1286","227500","1286"
"2017-01-30","1295","1340","1290","1297","434800","1297"
"2017-01-31","1321","1348","1303","1322","412000","1322"
"2017-02-01","1339","1351","1318","1350","256300","1350"
"2017-02-02","1353","1369","1315","1326","482800","1326"
"2017-02-03","1321","1344","1280","1312","452100","1312"
"2017-02-06","1309","1309","1265","1276","439800","1276"
"2017-02-07","1275","1276","1251","1254","349900","1254"
"2017-02-08","1256","1264","1248","1258","238500","1258"
"2017-02-09","1258","1266","1248","1257","152600","1257"
"2017-02-10","1265","1285","1260","1285","235900","1285"
"2017-02-13","1285","1288","1264","1272","289100","1272"
"2017-02-14","1273","1275","1252","1256","583800","1256"
"2017-02-15","1270","1273","1254","1261","240100","1261"
"2017-02-16","1262","1273","1255","1260","210200","1260"
"2017-02-17","1264","1278","1260","1272","164200","1272"
"2017-02-20","1272","1296","1258","1293","387300","1293"
"2017-02-21","1293","1295","1272","1290","232300","1290"
"2017-02-22","1287","1307","1283","1303","167600","1303"
"2017-02-23","1300","1304","1278","1288","206600","1288"
"2017-02-24","1284","1332","1280","1329","333100","1329"
"2017-02-27","1328","1332","1305","1313","372300","1313"
"2017-02-28","1314","1332","1305","1324","220000","1324"
"2017-03-01","1330","1355","1329","1355","351600","1355"
"2017-03-02","1360","1372","1343","1359","326400","1359"
"2017-03-03","1362","1376","1351","1357","182100","1357"
"2017-03-06","1359","1359","1333","1355","199600","1355"
"2017-03-07","1349","1371","1337","1368","275200","1368"
"2017-03-08","1365","1390","1365","1381","199200","1381"
"2017-03-09","1384","1392","1363","1372","155100","1372"
"2017-03-10","1370","1374","1346","1352","195600","1352"
"2017-03-13","1352","1369","1343","1344","198000","1344"
"2017-03-14","1344","1378","1344","1359","219100","1359"
"2017-03-15","1356","1356","1335","1338","139900","1338"
"2017-03-16","1340","1346","1332","1340","102900","1340"
"2017-03-17","1336","1364","1336","1346","143600","1346"
"2017-03-21","1351","1374","1348","1373","197000","1373"
"2017-03-22","1360","1368","1355","1357","106400","1357"
"2017-03-23","1357","1374","1357","1365","108200","1365"
"2017-03-24","1370","1384","1361","1377","160600","1377"
"2017-03-27","1377","1379","1340","1348","226000","1348"
"2017-03-28","1354","1366","1347","1366","124400","1366"
"2017-03-29","1364","1391","1362","1391","154400","1391"
"2017-03-30","1382","1394","1357","1364","146700","1364"
"2017-03-31","1378","1385","1356","1356","163200","1356"
"2017-04-03","1360","1378","1358","1371","130800","1371"
"2017-04-04","1374","1414","1365","1375","452100","1375"
"2017-04-05","1400","1432","1386","1403","346100","1403"
"2017-04-06","1409","1438","1345","1352","455100","1352"
"2017-04-07","1365","1386","1343","1369","170100","1369"
"2017-04-10","1379","1385","1365","1380","93500","1380"
"2017-04-11","1374","1394","1371","1383","300400","1383"
"2017-04-12","1370","1376","1355","1365","166500","1365"
"2017-04-13","1355","1378","1353","1370","181300","1370"
"2017-04-14","1361","1373","1348","1353","145000","1353"
"2017-04-17","1348","1385","1346","1383","134600","1383"
"2017-04-18","1387","1406","1382","1402","197700","1402"
"2017-04-19","1395","1446","1395","1444","249300","1444"
"2017-04-20","1443","1462","1418","1433","142200","1433"
"2017-04-21","1454","1504","1454","1493","412100","1493"
"2017-04-24","1500","1515","1478","1499","229800","1499"
