7762 東証1部 シチズン時計(株)（精密機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","527","537","520","533","2192700","533"
"2019-01-07","543","553","541","548","1343200","548"
"2019-01-08","556","568","552","553","1760200","553"
"2019-01-09","557","561","554","559","1113700","559"
"2019-01-10","555","558","551","553","1259800","553"
"2019-01-11","557","557","550","551","1690400","551"
"2019-01-15","551","573","551","572","1532500","572"
"2019-01-16","562","566","546","547","1974000","547"
"2019-01-17","550","559","548","549","1441700","549"
"2019-01-18","557","562","554","558","1307100","558"
"2019-01-21","568","575","566","569","1204700","569"
"2019-01-22","568","573","560","563","955700","563"
"2019-01-23","556","571","556","564","1791900","564"
"2019-01-24","562","576","559","575","1251100","575"
"2019-01-25","589","590","578","579","1112000","579"
"2019-01-28","583","584","574","578","968200","578"
"2019-01-29","582","585","575","581","1588900","581"
"2019-01-30","582","583","572","572","1518700","572"
"2019-01-31","582","585","577","580","1088400","580"
"2019-02-01","584","585","573","578","1094300","578"
"2019-02-04","582","588","581","586","821600","586"
"2019-02-05","585","595","584","591","1066300","591"
"2019-02-06","597","598","592","597","1417400","597"
"2019-02-07","588","590","576","578","1681600","578"
"2019-02-08","578","582","569","571","1862300","571"
"2019-02-12","570","592","569","589","1448100","589"
"2019-02-13","595","609","586","607","2557400","607"
"2019-02-14","657","658","624","625","3100100","625"
"2019-02-15","621","628","615","627","2306500","627"
"2019-02-18","633","640","624","631","1851100","631"
"2019-02-19","631","635","627","631","1496900","631"
"2019-02-20","638","641","629","634","1964900","634"
"2019-02-21","636","641","633","640","2006200","640"
"2019-02-22","639","643","636","639","2199700","639"
"2019-02-25","641","643","637","642","977100","642"
"2019-02-26","637","642","636","636","1158600","636"
"2019-02-27","635","646","634","642","1690300","642"
"2019-02-28","641","643","633","633","2041400","633"
"2019-03-01","636","643","630","632","2745900","632"
"2019-03-04","635","646","634","643","2049000","643"
"2019-03-05","636","638","632","636","1317000","636"
"2019-03-06","636","640","634","638","1035700","638"
"2019-03-07","632","641","630","635","1422900","635"
"2019-03-08","630","634","620","621","2175600","621"
"2019-03-11","622","627","620","626","1255400","626"
"2019-03-12","631","641","630","638","1336100","638"
"2019-03-13","628","636","626","629","1799800","629"
"2019-03-14","636","636","622","623","1543000","623"
"2019-03-15","620","628","617","617","2645400","617"
"2019-03-18","625","629","622","628","1157700","628"
"2019-03-19","623","631","617","623","1961400","623"
"2019-03-20","623","628","619","623","1242600","623"
"2019-03-22","629","630","621","629","2009300","629"
"2019-03-25","614","615","603","610","1497900","610"
"2019-03-26","616","633","615","632","2072500","632"
"2019-03-27","613","623","608","621","2466700","621"
"2019-03-28","617","617","610","615","1671400","615"
"2019-03-29","616","621","614","617","1120300","617"
"2019-04-01","627","635","621","627","1731100","627"
"2019-04-02","631","636","628","632","1316000","632"
"2019-04-03","628","637","628","632","1985200","632"
"2019-04-04","627","637","626","629","1423200","629"
"2019-04-05","626","638","625","632","1572700","632"
"2019-04-08","628","631","623","626","1385800","626"
"2019-04-09","630","633","626","629","1045100","629"
"2019-04-10","624","625","615","622","1188100","622"
"2019-04-11","623","623","616","619","1276200","619"
"2019-04-12","620","620","614","615","1659000","615"
"2019-04-15","625","628","621","621","1289800","621"
"2019-04-16","616","627","616","625","1452100","625"
"2019-04-17","623","632","622","631","1526300","631"
"2019-04-18","632","632","619","620","947700","620"
"2019-04-19","625","628","622","624","962700","624"
"2019-04-22","614","621","608","614","1589700","614"
"2019-04-23","619","625","618","623","1500000","623"
"2019-04-24","633","636","614","615","1798600","615"
"2019-04-25","615","624","612","622","1386100","622"
"2019-04-26","618","626","615","624","1208100","624"
"2019-05-07","638","641","604","606","2255200","606"
"2019-05-08","596","596","583","589","1525700","589"
"2019-05-09","587","589","579","582","1435500","582"
"2019-05-10","585","594","581","584","1833500","584"
"2019-05-13","580","584","573","575","1912200","575"
"2019-05-14","518","522","504","512","5085700","512"
"2019-05-15","522","525","505","514","3431800","514"
"2019-05-16","516","517","506","507","1845800","507"
"2019-05-17","517","519","512","512","1863100","512"
"2019-05-20","513","516","502","503","1330900","503"
"2019-05-21","501","505","497","502","1900300","502"
"2019-05-22","505","512","502","504","1480900","504"
"2019-05-23","500","506","497","503","2059900","503"
"2019-05-24","485","501","483","499","2884700","499"
"2019-05-27","507","509","498","498","1854500","498"
"2019-05-28","493","503","492","502","2456300","502"
"2019-05-29","507","508","500","505","3647400","505"
"2019-05-30","500","509","499","507","2271700","507"
"2019-05-31","508","509","500","501","2867600","501"
"2019-06-03","497","502","493","499","2227600","499"
"2019-06-04","501","511","500","507","3454900","507"
"2019-06-05","515","524","514","518","2769500","518"
"2019-06-06","520","525","516","519","2462300","519"
"2019-06-07","518","521","514","517","1814600","517"
"2019-06-10","520","528","519","524","1606300","524"
"2019-06-11","529","533","524","531","1420200","531"
"2019-06-12","530","540","528","534","1777300","534"
"2019-06-13","526","528","519","524","2152000","524"
"2019-06-14","530","534","526","530","2176900","530"
"2019-06-17","533","533","522","525","1392600","525"
"2019-06-18","525","530","524","528","1346900","528"
"2019-06-19","534","539","532","535","2419300","535"
"2019-06-20","539","544","536","541","1311800","541"
"2019-06-21","545","549","542","546","2083900","546"
"2019-06-24","538","546","537","543","1528300","543"
"2019-06-25","539","543","534","536","1487900","536"
"2019-06-26","534","544","533","541","1020200","541"
"2019-06-27","549","556","547","552","1372100","552"
"2019-06-28","553","554","547","553","1463600","553"
"2019-07-01","566","570","561","565","1439600","565"
"2019-07-02","568","570","564","570","978500","570"
"2019-07-03","561","566","558","566","1050000","566"
"2019-07-04","569","573","567","571","809900","571"
"2019-07-05","570","571","564","568","1187700","568"
"2019-07-08","565","566","560","561","1463000","561"
"2019-07-09","558","562","552","561","1771100","561"
"2019-07-10","556","568","554","565","1480400","565"
"2019-07-11","564","569","564","564","1630400","564"
"2019-07-12","567","568","555","558","1581800","558"
"2019-07-16","557","562","554","556","1902300","556"
"2019-07-17","554","558","551","555","1748300","555"
"2019-07-18","551","551","531","533","2564900","533"
"2019-07-19","536","553","535","550","1662600","550"
"2019-07-22","549","552","546","548","1318900","548"
"2019-07-23","546","562","545","557","1515000","557"
"2019-07-24","560","566","560","561","1598600","561"
"2019-07-25","562","565","558","562","1154900","562"
