6384 東証JQS (株)昭和真空（機械）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2016-01-04","1150","1152","1105","1122","80300","1122"
"2016-01-05","1105","1118","1071","1081","48600","1081"
"2016-01-06","1072","1082","1038","1042","52100","1042"
"2016-01-07","1022","1040","1020","1021","30400","1021"
"2016-01-08","1004","1035","1003","1017","52800","1017"
"2016-01-12","1020","1020","969","985","61700","985"
"2016-01-13","999","1035","991","1010","34200","1010"
"2016-01-14","976","997","955","987","41800","987"
"2016-01-15","1000","1014","964","970","30200","970"
"2016-01-18","925","970","911","968","52100","968"
"2016-01-19","955","960","931","950","29500","950"
"2016-01-20","949","949","900","903","52500","903"
"2016-01-21","873","904","818","818","156900","818"
"2016-01-22","878","897","850","885","60500","885"
"2016-01-25","916","987","911","929","118900","929"
"2016-01-26","900","937","888","907","54500","907"
"2016-01-27","937","937","912","922","37000","922"
"2016-01-28","922","967","917","949","44000","949"
"2016-01-29","949","974","928","955","59400","955"
"2016-02-01","984","1034","980","1019","56900","1019"
"2016-02-02","1049","1085","1010","1029","107700","1029"
"2016-02-03","999","1030","983","1008","52500","1008"
"2016-02-04","998","1009","983","990","39400","990"
"2016-02-05","985","1025","975","1008","46800","1008"
"2016-02-08","1000","1035","987","1021","77600","1021"
"2016-02-09","990","990","930","958","122500","958"
"2016-02-10","950","950","810","838","230800","838"
"2016-02-12","770","800","759","771","120800","771"
"2016-02-15","814","833","791","826","69500","826"
"2016-02-16","834","870","832","836","77800","836"
"2016-02-17","845","864","816","830","61700","830"
"2016-02-18","845","860","842","856","45700","856"
"2016-02-19","845","866","843","857","39800","857"
"2016-02-22","860","896","860","878","54700","878"
"2016-02-23","913","917","882","892","46100","892"
"2016-02-24","887","891","863","884","38600","884"
"2016-02-25","899","909","890","902","32800","902"
"2016-02-26","918","919","902","906","38100","906"
"2016-02-29","914","930","910","930","44400","930"
"2016-03-01","950","965","929","945","39200","945"
"2016-03-02","972","973","961","965","35600","965"
"2016-03-03","976","1010","970","998","68700","998"
"2016-03-04","1025","1025","1013","1020","49600","1020"
"2016-03-07","1050","1050","1017","1023","36300","1023"
"2016-03-08","1024","1031","990","1020","43000","1020"
"2016-03-09","1019","1019","992","1001","30000","1001"
"2016-03-10","1021","1034","1015","1018","32400","1018"
"2016-03-11","1032","1038","1020","1028","39400","1028"
"2016-03-14","1049","1050","1002","1016","75700","1016"
"2016-03-15","1005","1008","992","996","61400","996"
"2016-03-16","998","1004","990","998","34200","998"
"2016-03-17","1003","1009","985","990","38800","990"
"2016-03-18","985","990","962","975","53500","975"
"2016-03-22","988","996","986","989","22000","989"
"2016-03-23","989","1003","989","997","29600","997"
"2016-03-24","991","1005","989","993","36100","993"
"2016-03-25","993","999","988","991","63800","991"
"2016-03-28","994","996","984","984","73600","984"
"2016-03-29","935","960","935","950","43700","950"
"2016-03-30","950","955","881","890","87100","890"
"2016-03-31","890","890","876","876","41000","876"
"2016-04-01","875","875","822","825","67400","825"
"2016-04-04","825","841","825","832","26400","832"
"2016-04-05","831","832","802","804","32400","804"
"2016-04-06","808","809","790","803","22900","803"
"2016-04-07","803","824","800","803","12900","803"
"2016-04-08","788","821","785","816","20600","816"
"2016-04-11","831","831","808","812","13500","812"
"2016-04-12","825","834","816","833","18400","833"
"2016-04-13","832","845","830","842","18900","842"
"2016-04-14","854","875","850","873","53700","873"
"2016-04-15","873","874","858","858","33600","858"
"2016-04-18","866","930","838","874","76200","874"
"2016-04-19","888","904","877","882","46700","882"
"2016-04-20","897","899","876","876","33200","876"
"2016-04-21","881","902","876","900","46100","900"
"2016-04-22","878","900","875","882","39200","882"
"2016-04-25","897","897","884","889","13400","889"
"2016-04-26","894","898","860","875","30800","875"
"2016-04-27","870","880","863","880","9100","880"
"2016-04-28","882","894","864","871","22700","871"
"2016-05-02","815","855","815","854","35000","854"
"2016-05-06","854","860","843","849","14900","849"
"2016-05-09","879","886","867","886","25900","886"
"2016-05-10","886","931","876","931","50000","931"
"2016-05-11","938","951","933","936","52600","936"
"2016-05-12","936","940","909","929","49600","929"
"2016-05-13","861","865","834","847","102900","847"
"2016-05-16","847","868","845","850","34500","850"
"2016-05-17","850","856","847","852","16800","852"
"2016-05-18","850","853","829","839","33400","839"
"2016-05-19","841","849","832","838","11000","838"
"2016-05-20","838","848","832","841","15900","841"
"2016-05-23","841","842","830","840","11500","840"
"2016-05-24","840","844","814","818","30200","818"
"2016-05-25","820","824","808","810","30400","810"
"2016-05-26","825","825","810","821","13100","821"
"2016-05-27","821","821","811","817","17400","817"
"2016-05-30","820","867","820","866","46100","866"
"2016-05-31","906","936","886","903","138000","903"
"2016-06-01","900","907","885","885","36100","885"
"2016-06-02","893","899","876","887","19100","887"
"2016-06-03","889","929","889","918","61600","918"
"2016-06-06","925","1010","920","996","248000","996"
"2016-06-07","1041","1051","1008","1033","220100","1033"
"2016-06-08","1055","1230","1020","1069","473700","1069"
