8893 東証JQS (株)新日本建物（不動産業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2017-01-04","184","190","184","187","91900","187"
"2017-01-05","189","189","187","188","33100","188"
"2017-01-06","189","192","188","191","63900","191"
"2017-01-10","193","202","193","200","245500","200"
"2017-01-11","204","204","200","201","126900","201"
"2017-01-12","201","201","198","198","145100","198"
"2017-01-13","196","202","195","201","115800","201"
"2017-01-16","201","202","197","197","60000","197"
"2017-01-17","197","197","192","194","46400","194"
"2017-01-18","193","194","187","191","143900","191"
"2017-01-19","194","198","192","192","50800","192"
"2017-01-20","192","192","187","190","87000","190"
"2017-01-23","192","192","188","189","56400","189"
"2017-01-24","190","191","189","190","24000","190"
"2017-01-25","191","194","191","193","46500","193"
"2017-01-26","194","196","193","193","43000","193"
"2017-01-27","193","197","193","196","60100","196"
"2017-01-30","195","198","195","197","64200","197"
"2017-01-31","197","197","193","193","43600","193"
"2017-02-01","193","194","192","193","38100","193"
"2017-02-02","192","193","190","190","88600","190"
"2017-02-03","189","192","189","191","17200","191"
"2017-02-06","195","195","191","193","66300","193"
"2017-02-07","191","195","190","193","74700","193"
"2017-02-08","191","194","191","194","18800","194"
"2017-02-09","189","192","189","192","78000","192"
"2017-02-10","192","192","191","192","32800","192"
"2017-02-13","191","193","191","192","44000","192"
"2017-02-14","191","192","191","191","46900","191"
"2017-02-15","191","195","191","194","92000","194"
"2017-02-16","195","196","193","193","35400","193"
"2017-02-17","193","194","191","193","35200","193"
"2017-02-20","192","194","192","193","35000","193"
"2017-02-21","194","194","192","193","35700","193"
"2017-02-22","195","195","193","193","16700","193"
"2017-02-23","193","194","193","193","12800","193"
"2017-02-24","193","194","192","193","18500","193"
"2017-02-27","193","194","192","192","46100","192"
"2017-02-28","192","193","191","191","35200","191"
"2017-03-01","192","193","191","193","28700","193"
"2017-03-02","193","194","192","193","35900","193"
"2017-03-03","193","194","192","192","22300","192"
"2017-03-06","194","207","193","205","523000","205"
"2017-03-07","210","245","207","221","3671400","221"
"2017-03-08","214","217","211","212","483600","212"
"2017-03-09","210","211","201","206","288600","206"
"2017-03-10","215","220","213","216","468200","216"
"2017-03-13","213","216","212","213","96900","213"
"2017-03-14","212","216","208","211","96400","211"
"2017-03-15","210","211","201","208","163100","208"
"2017-03-16","205","211","205","208","66400","208"
"2017-03-17","206","207","202","205","93200","205"
"2017-03-21","203","208","203","207","43000","207"
"2017-03-22","206","206","202","203","48700","203"
"2017-03-23","202","204","193","198","283000","198"
"2017-03-24","200","203","197","203","75400","203"
"2017-03-27","205","212","193","210","265800","210"
"2017-03-28","205","233","205","228","884000","228"
"2017-03-29","228","228","213","217","467000","217"
"2017-03-30","221","223","215","220","96500","220"
"2017-03-31","220","220","211","213","127300","213"
"2017-04-03","212","217","212","215","67800","215"
"2017-04-04","214","214","196","200","289800","200"
"2017-04-05","198","202","193","201","141200","201"
"2017-04-06","202","202","194","196","137100","196"
"2017-04-07","196","202","193","198","108400","198"
"2017-04-10","196","199","195","195","57000","195"
"2017-04-11","197","197","190","192","81700","192"
"2017-04-12","186","190","180","185","245600","185"
"2017-04-13","177","185","177","183","234700","183"
"2017-04-14","180","192","180","186","99600","186"
"2017-04-17","182","188","180","188","53500","188"
"2017-04-18","193","195","190","193","39500","193"
"2017-04-19","193","196","192","194","63300","194"
"2017-04-20","194","201","194","195","27200","195"
"2017-04-21","195","202","192","193","52500","193"
"2017-04-24","195","196","192","192","38800","192"
"2017-04-25","195","196","193","195","17300","195"
"2017-04-26","200","200","196","197","21300","197"
"2017-04-27","200","200","196","196","23800","196"
"2017-04-28","198","198","194","194","28400","194"
"2017-05-01","194","200","194","197","45800","197"
"2017-05-02","197","200","197","199","57100","199"
"2017-05-08","204","207","200","205","168600","205"
"2017-05-09","203","205","198","202","178000","202"
"2017-05-10","201","204","200","201","52400","201"
"2017-05-11","202","204","201","204","51000","204"
"2017-05-12","200","207","198","203","102800","203"
"2017-05-15","205","205","199","201","28200","201"
"2017-05-16","201","205","200","201","74300","201"
"2017-05-17","225","232","211","214","2781900","214"
"2017-05-18","206","212","205","206","421300","206"
"2017-05-19","209","213","208","210","174700","210"
"2017-05-22","215","219","212","215","302300","215"
"2017-05-23","219","227","217","225","393600","225"
"2017-05-24","225","226","217","221","233600","221"
"2017-05-25","224","224","214","218","212100","218"
"2017-05-26","219","232","215","230","417900","230"
"2017-05-29","229","238","227","230","566800","230"
"2017-05-30","230","241","228","239","631400","239"
"2017-05-31","236","245","235","236","541100","236"
"2017-06-01","235","237","231","232","213200","232"
"2017-06-02","236","240","233","233","248600","233"
"2017-06-05","235","237","233","235","128500","235"
"2017-06-06","235","236","225","227","219200","227"
"2017-06-07","224","232","224","230","203600","230"
"2017-06-08","230","230","225","225","59200","225"
"2017-06-09","228","237","226","236","259800","236"
"2017-06-12","237","237","229","231","114900","231"
"2017-06-13","227","235","227","234","159900","234"
"2017-06-14","238","238","231","233","69300","233"
"2017-06-15","232","234","228","233","107900","233"
"2017-06-16","232","233","228","231","41600","231"
"2017-06-19","232","236","231","235","88400","235"
"2017-06-20","236","236","231","232","95000","232"
