1808 東証1部 (株)長谷工コーポレーション（建設業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","1120","1147","1119","1146","1945000","1146"
"2019-01-07","1178","1186","1164","1171","1694000","1171"
"2019-01-08","1179","1202","1167","1193","3014500","1193"
"2019-01-09","1200","1219","1200","1217","2181600","1217"
"2019-01-10","1210","1215","1192","1209","3113500","1209"
"2019-01-11","1212","1231","1212","1230","1538200","1230"
"2019-01-15","1227","1257","1209","1252","1912200","1252"
"2019-01-16","1248","1252","1230","1236","2173300","1236"
"2019-01-17","1238","1249","1217","1222","1934300","1222"
"2019-01-18","1226","1246","1225","1242","1814800","1242"
"2019-01-21","1241","1250","1230","1230","1463600","1230"
"2019-01-22","1232","1238","1224","1227","780800","1227"
"2019-01-23","1200","1210","1188","1195","2490800","1195"
"2019-01-24","1197","1203","1182","1202","1528000","1202"
"2019-01-25","1203","1217","1203","1211","1107700","1211"
"2019-01-28","1207","1213","1201","1203","780100","1203"
"2019-01-29","1200","1208","1194","1208","1080900","1208"
"2019-01-30","1203","1212","1196","1201","1656900","1201"
"2019-01-31","1215","1222","1200","1205","1432900","1205"
"2019-02-01","1206","1212","1192","1197","1700800","1197"
"2019-02-04","1187","1219","1185","1218","1542300","1218"
"2019-02-05","1222","1225","1211","1215","1111200","1215"
"2019-02-06","1227","1227","1214","1219","1540500","1219"
"2019-02-07","1214","1220","1196","1202","986700","1202"
"2019-02-08","1191","1194","1163","1172","2045100","1172"
"2019-02-12","1343","1392","1303","1359","5418000","1359"
"2019-02-13","1363","1363","1333","1333","2596600","1333"
"2019-02-14","1346","1367","1334","1357","1810600","1357"
"2019-02-15","1343","1355","1335","1336","1277700","1336"
"2019-02-18","1357","1357","1325","1334","1918900","1334"
"2019-02-19","1330","1339","1324","1339","1529700","1339"
"2019-02-20","1350","1360","1345","1347","1998800","1347"
"2019-02-21","1357","1371","1351","1355","1735900","1355"
"2019-02-22","1356","1383","1355","1379","1763300","1379"
"2019-02-25","1390","1398","1385","1397","1335100","1397"
"2019-02-26","1393","1404","1378","1389","1527900","1389"
"2019-02-27","1389","1404","1389","1390","1582600","1390"
"2019-02-28","1395","1406","1385","1391","1723000","1391"
"2019-03-01","1401","1417","1398","1410","1517400","1410"
"2019-03-04","1421","1422","1405","1417","1388400","1417"
"2019-03-05","1414","1434","1411","1432","1795900","1432"
"2019-03-06","1438","1443","1426","1433","1407300","1433"
"2019-03-07","1426","1440","1422","1433","1445700","1433"
"2019-03-08","1427","1436","1412","1418","3081100","1418"
"2019-03-11","1436","1441","1420","1439","1638600","1439"
"2019-03-12","1447","1448","1432","1438","2057900","1438"
"2019-03-13","1432","1434","1409","1420","1904700","1420"
"2019-03-14","1425","1429","1402","1404","1653400","1404"
"2019-03-15","1420","1421","1409","1413","1430200","1413"
"2019-03-18","1424","1442","1422","1442","1449700","1442"
"2019-03-19","1434","1468","1427","1465","2773200","1465"
"2019-03-20","1450","1456","1422","1447","2402200","1447"
"2019-03-22","1447","1454","1433","1452","2291000","1452"
"2019-03-25","1431","1431","1419","1427","2701700","1427"
"2019-03-26","1433","1460","1425","1457","3822500","1457"
"2019-03-27","1403","1410","1372","1388","4462700","1388"
"2019-03-28","1381","1389","1364","1375","2734200","1375"
"2019-03-29","1384","1396","1381","1392","1411400","1392"
"2019-04-01","1400","1409","1392","1403","1577000","1403"
"2019-04-02","1411","1415","1398","1399","1469900","1399"
"2019-04-03","1403","1405","1379","1405","1808800","1405"
"2019-04-04","1400","1419","1397","1410","1812700","1410"
"2019-04-05","1410","1414","1403","1411","965500","1411"
"2019-04-08","1412","1416","1396","1403","1054700","1403"
"2019-04-09","1390","1395","1380","1385","1401200","1385"
"2019-04-10","1368","1382","1360","1367","1642300","1367"
"2019-04-11","1367","1376","1349","1358","1748200","1358"
"2019-04-12","1368","1368","1353","1357","1574200","1357"
"2019-04-15","1369","1375","1359","1368","1447000","1368"
"2019-04-16","1361","1369","1349","1352","1622900","1352"
"2019-04-17","1349","1363","1339","1352","1356600","1352"
"2019-04-18","1347","1350","1331","1333","1122800","1333"
"2019-04-19","1336","1338","1323","1330","1360200","1330"
"2019-04-22","1330","1346","1322","1340","963400","1340"
"2019-04-23","1341","1353","1339","1353","1252500","1353"
"2019-04-24","1359","1363","1328","1331","1435600","1331"
"2019-04-25","1330","1355","1325","1350","1544000","1350"
"2019-04-26","1333","1344","1327","1341","1464000","1341"
"2019-05-07","1346","1353","1336","1347","2198000","1347"
"2019-05-08","1329","1336","1307","1312","1928000","1312"
"2019-05-09","1300","1305","1293","1299","1636700","1299"
"2019-05-10","1301","1317","1183","1216","4389600","1216"
"2019-05-13","1216","1216","1168","1178","5804800","1178"
"2019-05-14","1140","1165","1129","1165","2833900","1165"
"2019-05-15","1151","1159","1139","1145","1958700","1145"
"2019-05-16","1141","1148","1126","1135","2292800","1135"
"2019-05-17","1136","1150","1120","1141","1788000","1141"
"2019-05-20","1135","1149","1135","1145","1298700","1145"
"2019-05-21","1126","1132","1117","1131","1984900","1131"
"2019-05-22","1140","1141","1126","1127","1424200","1127"
"2019-05-23","1103","1113","1098","1103","2269400","1103"
"2019-05-24","1099","1115","1090","1113","1671800","1113"
"2019-05-27","1113","1118","1104","1108","1092600","1108"
"2019-05-28","1107","1123","1104","1115","1986400","1115"
"2019-05-29","1102","1122","1101","1121","1301000","1121"
"2019-05-30","1098","1101","1078","1101","3258900","1101"
"2019-05-31","1089","1097","1082","1083","1599200","1083"
"2019-06-03","1073","1096","1071","1081","2035000","1081"
"2019-06-04","1081","1092","1074","1088","1721000","1088"
"2019-06-05","1114","1121","1101","1113","1457900","1113"
"2019-06-06","1114","1124","1109","1113","1447500","1113"
"2019-06-07","1115","1118","1107","1115","681100","1115"
"2019-06-10","1125","1130","1114","1127","857900","1127"
"2019-06-11","1121","1127","1109","1125","975700","1125"
"2019-06-12","1111","1119","1105","1110","1164900","1110"
"2019-06-13","1108","1109","1096","1103","1446100","1103"
"2019-06-14","1104","1111","1096","1105","1009400","1105"
"2019-06-17","1100","1105","1091","1096","1138800","1096"
"2019-06-18","1096","1106","1084","1088","1169700","1088"
"2019-06-19","1105","1115","1103","1111","1161100","1111"
"2019-06-20","1108","1119","1106","1115","1192600","1115"
"2019-06-21","1118","1120","1100","1104","3017000","1104"
"2019-06-24","1105","1105","1096","1101","724300","1101"
"2019-06-25","1100","1103","1085","1089","1104600","1089"
"2019-06-26","1080","1084","1075","1078","880600","1078"
"2019-06-27","1075","1096","1072","1093","1130900","1093"
"2019-06-28","1087","1096","1083","1090","1085800","1090"
"2019-07-01","1109","1128","1103","1123","1507600","1123"
"2019-07-02","1128","1144","1124","1139","1505400","1139"
