6986 東証1部 双葉電子工業(株)（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2015-08-20","1850","1870","1846","1847","74700","1847"
"2015-08-21","1767","1798","1703","1722","433000","1722"
"2015-08-24","1653","1687","1600","1618","450500","1618"
"2015-08-25","1578","1638","1533","1562","338100","1562"
"2015-08-26","1550","1626","1542","1609","257700","1609"
"2015-08-27","1659","1659","1596","1605","253200","1605"
"2015-08-28","1645","1688","1632","1669","138900","1669"
"2015-08-31","1669","1681","1627","1660","132300","1660"
"2015-09-01","1660","1667","1592","1599","151700","1599"
"2015-09-02","1559","1657","1559","1601","232200","1601"
"2015-09-03","1613","1629","1592","1598","76200","1598"
"2015-09-04","1611","1614","1545","1557","98200","1557"
"2015-09-07","1542","1574","1514","1546","93400","1546"
"2015-09-08","1550","1589","1534","1536","106100","1536"
"2015-09-09","1580","1620","1580","1620","70500","1620"
"2015-09-10","1580","1595","1537","1578","112900","1578"
"2015-09-11","1511","1533","1502","1508","327300","1508"
"2015-09-14","1506","1553","1506","1525","166300","1525"
"2015-09-15","1539","1591","1536","1543","168000","1543"
"2015-09-16","1558","1580","1554","1558","73900","1558"
"2015-09-17","1558","1592","1558","1575","109800","1575"
"2015-09-18","1559","1567","1538","1548","136200","1548"
"2015-09-24","1520","1538","1497","1504","199900","1504"
"2015-09-25","1530","1545","1501","1545","129200","1545"
"2015-09-28","1538","1553","1520","1543","125000","1543"
"2015-09-29","1522","1523","1484","1486","253700","1486"
"2015-09-30","1515","1557","1506","1541","140900","1541"
"2015-10-01","1550","1583","1527","1574","127400","1574"
"2015-10-02","1574","1586","1538","1576","79500","1576"
"2015-10-05","1586","1612","1574","1600","66800","1600"
"2015-10-06","1625","1662","1625","1651","150600","1651"
"2015-10-07","1654","1672","1635","1650","198800","1650"
"2015-10-08","1644","1649","1612","1628","135800","1628"
"2015-10-09","1653","1682","1652","1676","167900","1676"
"2015-10-13","1696","1713","1675","1683","248600","1683"
"2015-10-14","1650","1653","1598","1604","256400","1604"
"2015-10-15","1603","1644","1602","1638","189600","1638"
"2015-10-16","1650","1663","1607","1616","120900","1616"
"2015-10-19","1613","1637","1585","1624","149200","1624"
"2015-10-20","1617","1627","1599","1622","77900","1622"
"2015-10-21","1614","1670","1614","1668","111100","1668"
"2015-10-22","1651","1675","1642","1654","87800","1654"
"2015-10-23","1660","1663","1577","1580","499000","1580"
"2015-10-26","1604","1605","1585","1594","198000","1594"
"2015-10-27","1604","1607","1566","1570","224100","1570"
"2015-10-28","1566","1580","1550","1577","188000","1577"
"2015-10-29","1586","1588","1567","1577","253000","1577"
"2015-10-30","1575","1587","1556","1575","154900","1575"
"2015-11-02","1575","1579","1550","1558","165300","1558"
"2015-11-04","1582","1644","1571","1613","327800","1613"
"2015-11-05","1620","1645","1613","1642","148200","1642"
"2015-11-06","1646","1695","1644","1684","208500","1684"
"2015-11-09","1640","1640","1585","1601","393500","1601"
"2015-11-10","1580","1608","1571","1606","223000","1606"
"2015-11-11","1608","1677","1598","1667","182400","1667"
"2015-11-12","1660","1679","1650","1667","94500","1667"
"2015-11-13","1651","1662","1644","1650","50100","1650"
"2015-11-16","1635","1648","1627","1640","48300","1640"
"2015-11-17","1671","1692","1646","1690","101100","1690"
"2015-11-18","1697","1698","1682","1694","86000","1694"
"2015-11-19","1698","1709","1666","1701","148200","1701"
"2015-11-20","1720","1819","1718","1735","207700","1735"
"2015-11-24","1735","1746","1731","1735","68500","1735"
"2015-11-25","1725","1732","1672","1708","205700","1708"
"2015-11-26","1742","1793","1721","1729","268000","1729"
"2015-11-27","1727","1727","1673","1700","166600","1700"
"2015-11-30","1694","1723","1693","1712","201800","1712"
"2015-12-01","1692","1709","1668","1707","155000","1707"
"2015-12-02","1711","1724","1704","1715","98300","1715"
"2015-12-03","1720","1729","1697","1725","72200","1725"
"2015-12-04","1701","1716","1692","1715","111500","1715"
"2015-12-07","1749","1755","1729","1733","63500","1733"
"2015-12-08","1740","1744","1700","1704","69700","1704"
"2015-12-09","1692","1696","1660","1670","178500","1670"
"2015-12-10","1650","1680","1650","1670","136300","1670"
"2015-12-11","1651","1667","1634","1644","189000","1644"
"2015-12-14","1609","1618","1574","1617","157700","1617"
"2015-12-15","1607","1615","1568","1574","152400","1574"
"2015-12-16","1580","1612","1580","1608","141400","1608"
"2015-12-17","1643","1659","1626","1637","158700","1637"
"2015-12-18","1660","1689","1640","1643","188600","1643"
"2015-12-21","1637","1641","1593","1616","133000","1616"
"2015-12-22","1616","1656","1611","1621","111000","1621"
"2015-12-24","1622","1631","1587","1592","56600","1592"
"2015-12-25","1600","1605","1553","1560","78700","1560"
"2015-12-28","1572","1609","1571","1600","61300","1600"
"2015-12-29","1600","1638","1591","1627","71900","1627"
"2015-12-30","1651","1661","1632","1636","52500","1636"
