8628 東証1部 松井証券(株)（証券業）,,,,,
"2017-03-22","933","934","911","912","1948100","912"
"2017-03-23","915","918","907","908","889200","908"
"2017-03-24","908","922","907","921","1150500","921"
"2017-03-27","911","913","901","904","1395500","904"
"2017-03-28","909","915","909","912","1217400","912"
"2017-03-29","900","902","883","886","1342700","886"
"2017-03-30","882","885","876","879","848500","879"
"2017-03-31","881","885","870","871","1105700","871"
"2017-04-03","875","888","868","885","1830500","885"
"2017-04-04","880","885","871","883","1325900","883"
"2017-04-05","880","884","872","875","1003800","875"
"2017-04-06","873","875","860","862","1172900","862"
"2017-04-07","873","879","863","873","1388100","873"
"2017-04-10","875","883","874","879","851800","879"
"2017-04-11","871","878","869","872","673900","872"
"2017-04-12","866","867","860","865","937300","865"
"2017-04-13","860","868","859","867","782200","867"
"2017-04-14","880","880","860","869","1156900","869"
"2017-04-17","863","878","863","876","689900","876"
"2017-04-18","879","886","875","876","693500","876"
"2017-04-19","866","879","860","875","1081500","875"
"2017-04-20","872","880","871","873","646700","873"
"2017-04-21","879","880","871","873","867000","873"
"2017-04-24","883","889","878","883","864900","883"
"2017-04-25","885","908","882","906","1568300","906"
"2017-04-26","909","915","902","915","988500","915"
"2017-04-27","905","911","894","894","1151600","894"
"2017-04-28","894","908","887","908","1795000","908"
"2017-05-01","898","901","892","892","924800","892"
"2017-05-02","897","899","892","898","838900","898"
"2017-05-08","913","923","910","922","1422800","922"
"2017-05-09","926","926","919","921","906100","921"
"2017-05-10","925","930","920","928","930200","928"
"2017-05-11","925","928","921","924","586800","924"
"2017-05-12","922","929","914","918","1094900","918"
"2017-05-15","913","922","912","919","506300","919"
"2017-05-16","925","927","917","919","484000","919"
"2017-05-17","913","915","904","904","794200","904"
"2017-05-18","891","894","885","892","841800","892"
"2017-05-19","892","899","891","898","801400","898"
"2017-05-22","897","903","895","898","504900","898"
"2017-05-23","897","900","893","895","432000","895"
"2017-05-24","902","908","901","904","773900","904"
"2017-05-25","902","915","900","913","703000","913"
"2017-05-26","913","914","901","903","517300","903"
"2017-05-29","908","926","907","925","1052100","925"
"2017-05-30","923","924","913","913","577200","913"
"2017-05-31","913","915","901","904","750600","904"
"2017-06-01","900","917","899","913","724700","913"
"2017-06-02","920","939","917","938","1772900","938"
"2017-06-05","935","936","923","923","667300","923"
"2017-06-06","920","923","910","912","772800","912"
"2017-06-07","914","918","907","916","422400","916"
"2017-06-08","920","922","908","910","624400","910"
"2017-06-09","912","921","907","918","1186100","918"
"2017-06-12","917","927","915","916","417500","916"
"2017-06-13","912","917","909","916","384600","916"
"2017-06-14","915","920","914","917","385700","917"
"2017-06-15","914","917","908","914","625100","914"
"2017-06-16","918","934","915","934","1799700","934"
"2017-06-19","933","934","928","929","470100","929"
"2017-06-20","936","940","933","937","736200","937"
"2017-06-21","928","930","916","917","810700","917"
"2017-06-22","911","914","905","912","922700","912"
"2017-06-23","910","912","905","910","664800","910"
"2017-06-26","907","908","903","905","588700","905"
"2017-06-27","905","910","903","905","741100","905"
"2017-06-28","905","912","903","909","605300","909"
"2017-06-29","917","923","912","923","784300","923"
"2017-06-30","912","919","911","916","609100","916"
"2017-07-03","914","916","905","914","958600","914"
"2017-07-04","921","930","918","923","1096800","923"
"2017-07-05","920","925","912","923","701300","923"
"2017-07-06","919","930","917","926","848700","926"
"2017-07-07","920","923","914","919","758500","919"
"2017-07-10","926","935","926","935","1019400","935"
"2017-07-11","936","941","936","939","783300","939"
"2017-07-12","933","935","927","928","440400","928"
"2017-07-13","928","931","913","914","697000","914"
"2017-07-14","916","922","916","919","552200","919"
"2017-07-18","914","916","907","909","845300","909"
"2017-07-19","906","912","905","909","794500","909"
"2017-07-20","905","910","904","906","749700","906"
"2017-07-21","905","908","901","902","886800","902"
"2017-07-24","900","901","896","897","832200","897"
"2017-07-25","897","900","895","895","759400","895"
"2017-07-26","895","899","892","895","670200","895"
"2017-07-27","894","895","885","890","907100","890"
"2017-07-28","892","901","890","897","906600","897"
"2017-07-31","894","906","892","903","760900","903"
"2017-08-01","903","911","902","906","539800","906"
"2017-08-02","906","908","900","900","515100","900"
"2017-08-03","899","900","892","893","776800","893"
"2017-08-04","892","901","890","890","960900","890"
"2017-08-07","895","897","891","891","550000","891"
"2017-08-08","892","893","886","891","825500","891"
"2017-08-09","891","894","882","883","1102600","883"
"2017-08-10","890","890","878","879","781200","879"
"2017-08-14","872","872","861","863","1062300","863"
"2017-08-15","869","879","867","869","677500","869"
"2017-08-16","868","871","865","867","421400","867"
"2017-08-17","865","866","857","865","837100","865"
"2017-08-18","858","858","851","852","1087000","852"
"2017-08-21","854","855","846","847","777600","847"
"2017-08-22","847","851","845","849","723900","849"
"2017-08-23","854","855","845","848","761800","848"
"2017-08-24","845","847","839","841","816500","841"
"2017-08-25","841","842","838","840","683100","840"
"2017-08-28","845","845","836","841","1079300","841"
"2017-08-29","835","839","831","838","1001900","838"
"2017-08-30","840","841","836","837","748000","837"
"2017-08-31","840","842","836","842","688700","842"
"2017-09-01","844","845","840","844","754100","844"
"2017-09-04","843","844","836","837","1064300","837"
"2017-09-05","839","839","830","830","911500","830"
"2017-09-06","826","828","823","825","1074100","825"
"2017-09-07","827","833","825","826","740900","826"
"2017-09-08","824","826","820","822","1728700","822"
"2017-09-11","828","833","820","822","887400","822"
"2017-09-12","830","833","827","832","828100","832"
"2017-09-13","836","839","835","838","599700","838"
"2017-09-14","840","844","836","838","840600","838"
"2017-09-15","838","846","835","846","1034900","846"
"2017-09-19","858","861","854","860","1125400","860"
"2017-09-20","860","865","856","863","791700","863"
"2017-09-21","872","884","872","876","1123300","876"
"2017-09-22","877","879","861","869","1522300","869"
"2017-09-25","872","873","869","871","772100","871"
"2017-09-26","872","874","869","872","774600","872"
"2017-09-27","852","854","845","845","982100","845"
"2017-09-28","851","851","842","842","1010100","842"
"2017-09-29","841","849","840","848","962000","848"
"2017-10-02","847","855","846","855","808300","855"
"2017-10-03","857","868","857","868","1012000","868"
"2017-10-04","872","873","867","868","710200","868"
"2017-10-05","867","869","864","869","445100","869"
"2017-10-06","871","875","870","873","879100","873"
"2017-10-10","872","876","872","875","790800","875"
"2017-10-11","876","882","875","879","632300","879"
"2017-10-12","883","884","880","881","667600","881"
"2017-10-13","877","892","877","891","1893900","891"
"2017-10-16","894","907","893","904","1173700","904"
"2017-10-17","906","908","893","904","898900","904"
"2017-10-18","901","907","900","905","877600","905"
"2017-10-19","907","910","905","905","756000","905"
"2017-10-20","902","908","900","905","947200","905"
"2017-10-23","914","920","913","915","1113100","915"
"2017-10-24","912","915","906","911","602900","911"
"2017-10-25","915","918","902","904","974900","904"
"2017-10-26","906","928","905","927","1393800","927"
"2017-10-27","935","945","932","944","1504900","944"
"2017-10-30","950","955","945","946","2210500","946"
"2017-10-31","936","950","936","949","1056200","949"
"2017-11-01","953","964","953","961","1263300","961"
"2017-11-02","964","967","959","966","1043500","966"
"2017-11-06","974","980","968","975","1084500","975"
"2017-11-07","973","1000","973","998","1881500","998"
"2017-11-08","997","1009","995","1009","1202700","1009"
"2017-11-09","1012","1039","1001","1012","2147800","1012"
"2017-11-10","999","1006","989","993","1454200","993"
"2017-11-13","987","989","974","974","801000","974"
"2017-11-15","970","975","959","962","1228900","962"
"2017-11-16","959","976","959","974","812800","974"
"2017-11-17","989","990","970","973","1241500","973"
"2017-11-20","959","965","952","953","1058300","953"
"2017-11-21","961","962","954","955","766200","955"
"2017-11-22","965","965","954","955","805500","955"
"2017-11-24","950","957","945","955","664900","955"
"2017-11-27","968","968","950","958","669400","958"
"2017-11-28","958","959","948","950","793300","950"
"2017-11-29","962","963","953","954","872400","954"
"2017-11-30","965","986","964","983","1383800","983"
"2017-12-01","993","993","980","987","1052200","987"
"2017-12-04","982","986","975","975","773700","975"
"2017-12-05","972","980","972","973","632200","973"
"2017-12-06","970","973","933","936","1663600","936"
"2017-12-07","940","946","936","939","1101900","939"
"2017-12-08","944","956","944","955","1491800","955"
"2017-12-11","958","961","952","959","535500","959"
"2017-12-12","959","968","957","966","797700","966"
"2017-12-13","966","975","965","972","789600","972"
"2017-12-14","964","968","958","959","639800","959"
"2017-12-15","957","958","948","950","630500","950"
"2017-12-18","960","963","956","957","559400","957"
"2017-12-19","963","969","962","965","584700","965"
"2017-12-20","965","971","960","960","596600","960"
"2017-12-21","960","964","954","962","606200","962"
"2017-12-22","963","965","959","961","551800","961"
"2017-12-25","961","961","952","954","423500","954"
"2017-12-26","952","955","948","951","514800","951"
"2017-12-27","948","956","948","954","400200","954"
"2017-12-28","956","956","945","946","412500","946"
"2017-12-29","947","954","947","951","401000","951"
