7971 東証1部 東リ(株)（化学）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","242","250","242","248","77600","248"
"2019-01-07","253","262","253","260","70000","260"
"2019-01-08","262","267","260","265","57900","265"
"2019-01-09","265","272","261","267","70100","267"
"2019-01-10","262","268","259","265","68700","265"
"2019-01-11","262","268","262","263","76000","263"
"2019-01-15","261","265","259","263","47400","263"
"2019-01-16","260","264","255","256","65300","256"
"2019-01-17","255","256","251","253","65000","253"
"2019-01-18","255","260","254","254","56800","254"
"2019-01-21","255","258","254","257","25400","257"
"2019-01-22","258","258","255","256","21600","256"
"2019-01-23","251","256","251","252","39600","252"
"2019-01-24","255","256","252","253","37700","253"
"2019-01-25","251","261","251","253","51800","253"
"2019-01-28","254","254","250","251","45200","251"
"2019-01-29","251","252","248","251","60600","251"
"2019-01-30","251","253","246","246","95900","246"
"2019-01-31","248","249","245","246","55200","246"
"2019-02-01","246","246","232","240","122200","240"
"2019-02-04","243","252","243","248","124900","248"
"2019-02-05","250","254","247","253","36200","253"
"2019-02-06","254","254","248","252","44800","252"
"2019-02-07","251","253","248","251","70500","251"
"2019-02-08","249","252","245","248","63000","248"
"2019-02-12","248","254","248","251","28700","251"
"2019-02-13","252","254","249","254","60900","254"
"2019-02-14","255","259","255","259","47800","259"
"2019-02-15","260","266","259","264","82700","264"
"2019-02-18","269","269","263","269","42200","269"
"2019-02-19","268","278","267","278","52600","278"
"2019-02-20","279","284","276","277","47700","277"
"2019-02-21","277","281","275","278","62500","278"
"2019-02-22","277","278","273","276","30100","276"
"2019-02-25","279","283","279","282","53400","282"
"2019-02-26","281","282","275","277","61200","277"
"2019-02-27","278","282","278","281","35300","281"
"2019-02-28","282","282","276","280","47200","280"
"2019-03-01","282","282","278","280","31700","280"
"2019-03-04","279","281","278","279","48000","279"
"2019-03-05","277","280","277","280","27200","280"
"2019-03-06","279","280","277","277","32900","277"
"2019-03-07","278","280","276","280","39700","280"
"2019-03-08","277","278","270","270","94400","270"
"2019-03-11","273","280","272","279","43300","279"
"2019-03-12","279","283","277","280","88800","280"
"2019-03-13","278","282","272","273","35500","273"
"2019-03-14","276","276","272","274","27500","274"
"2019-03-15","276","280","274","277","75400","277"
"2019-03-18","278","278","272","274","53000","274"
