6384 東証JQS (株)昭和真空（機械）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2017-01-04","1137","1140","1126","1134","23000","1134"
"2017-01-05","1147","1170","1145","1161","33000","1161"
"2017-01-06","1164","1164","1147","1159","29300","1159"
"2017-01-10","1165","1174","1158","1158","23200","1158"
"2017-01-11","1158","1159","1145","1145","42000","1145"
"2017-01-12","1146","1209","1129","1197","119500","1197"
"2017-01-13","1197","1217","1180","1193","67800","1193"
"2017-01-16","1197","1197","1169","1179","31000","1179"
"2017-01-17","1166","1166","1143","1143","35100","1143"
"2017-01-18","1135","1144","1121","1131","47400","1131"
"2017-01-19","1143","1155","1130","1130","38300","1130"
"2017-01-20","1128","1142","1127","1128","33500","1128"
"2017-01-23","1128","1139","1128","1129","22800","1129"
"2017-01-24","1130","1165","1130","1151","36900","1151"
"2017-01-25","1170","1186","1161","1180","40000","1180"
"2017-01-26","1190","1198","1177","1190","56700","1190"
"2017-01-27","1200","1203","1180","1185","38800","1185"
"2017-01-30","1185","1195","1177","1184","26800","1184"
"2017-01-31","1177","1180","1160","1161","41600","1161"
"2017-02-01","1155","1174","1150","1167","42600","1167"
"2017-02-02","1169","1170","1154","1155","32000","1155"
"2017-02-03","1162","1175","1157","1159","29700","1159"
"2017-02-06","1169","1172","1159","1168","29300","1168"
"2017-02-07","1160","1168","1158","1160","20800","1160"
"2017-02-08","1168","1170","1160","1169","29200","1169"
"2017-02-09","1168","1183","1160","1178","45500","1178"
"2017-02-10","1058","1090","1056","1079","268000","1079"
"2017-02-13","1100","1108","1086","1096","48000","1096"
"2017-02-14","1108","1129","1108","1118","54800","1118"
"2017-02-15","1129","1129","1111","1126","33500","1126"
"2017-02-16","1130","1140","1123","1123","30000","1123"
"2017-02-17","1130","1131","1118","1125","30100","1125"
"2017-02-20","1127","1138","1126","1135","23500","1135"
"2017-02-21","1136","1165","1136","1157","45500","1157"
"2017-02-22","1165","1166","1145","1158","28200","1158"
"2017-02-23","1174","1174","1153","1160","25900","1160"
"2017-02-24","1170","1170","1154","1160","38500","1160"
"2017-02-27","1160","1165","1145","1160","29800","1160"
"2017-02-28","1158","1164","1153","1162","28600","1162"
"2017-03-01","1160","1160","1150","1153","25600","1153"
"2017-03-02","1152","1171","1152","1168","27400","1168"
"2017-03-03","1166","1169","1155","1159","22700","1159"
"2017-03-06","1154","1168","1154","1161","38100","1161"
"2017-03-07","1160","1167","1151","1166","26600","1166"
"2017-03-08","1166","1166","1154","1154","18500","1154"
"2017-03-09","1169","1197","1164","1194","70400","1194"
"2017-03-10","1200","1234","1182","1234","82600","1234"
"2017-03-13","1234","1234","1202","1202","49600","1202"
"2017-03-14","1201","1206","1183","1194","24800","1194"
"2017-03-15","1181","1181","1151","1161","61900","1161"
"2017-03-16","1157","1172","1153","1166","11600","1166"
"2017-03-17","1197","1197","1163","1171","31900","1171"
"2017-03-21","1184","1212","1175","1211","65000","1211"
"2017-03-22","1189","1217","1189","1194","56900","1194"
"2017-03-23","1194","1207","1194","1196","18100","1196"
"2017-03-24","1193","1211","1193","1197","25700","1197"
"2017-03-27","1184","1194","1180","1181","42000","1181"
"2017-03-28","1181","1200","1181","1192","35400","1192"
"2017-03-29","1162","1184","1153","1181","58300","1181"
"2017-03-30","1170","1190","1168","1180","25700","1180"
"2017-03-31","1189","1190","1160","1160","32800","1160"
"2017-04-03","1161","1168","1151","1153","31100","1153"
"2017-04-04","1146","1148","1088","1092","100500","1092"
"2017-04-05","1102","1150","1095","1103","49200","1103"
"2017-04-06","1076","1081","1050","1057","53800","1057"
"2017-04-07","1060","1082","1049","1071","23200","1071"
