8893 東証JQS (株)新日本建物（不動産業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","218","228","217","228","163600","228"
"2019-01-07","233","240","233","235","166100","235"
"2019-01-08","238","249","238","246","220600","246"
"2019-01-09","250","252","247","248","208100","248"
"2019-01-10","244","251","241","250","111200","250"
"2019-01-11","250","253","247","247","95600","247"
"2019-01-15","245","254","245","253","102500","253"
"2019-01-16","254","258","252","254","159400","254"
"2019-01-17","256","257","253","256","81300","256"
"2019-01-18","259","259","255","255","78700","255"
"2019-01-21","258","259","250","251","141500","251"
"2019-01-22","252","256","250","253","133400","253"
"2019-01-23","250","254","250","253","51000","253"
"2019-01-24","255","257","252","257","121800","257"
"2019-01-25","258","258","256","257","69200","257"
"2019-01-28","259","261","256","256","72900","256"
"2019-01-29","255","256","250","254","57600","254"
"2019-01-30","254","255","249","249","106700","249"
"2019-01-31","251","253","250","252","51300","252"
"2019-02-01","251","252","247","247","88000","247"
"2019-02-04","248","253","248","253","43000","253"
"2019-02-05","252","256","251","255","67800","255"
"2019-02-06","255","257","252","253","92500","253"
"2019-02-07","252","253","249","252","79700","252"
"2019-02-08","250","250","242","242","164500","242"
"2019-02-12","222","230","222","228","240100","228"
"2019-02-13","231","231","225","231","88400","231"
"2019-02-14","230","233","228","229","82900","229"
"2019-02-15","226","227","222","224","90800","224"
"2019-02-18","225","229","225","229","57100","229"
"2019-02-19","229","232","228","231","46400","231"
"2019-02-20","231","231","227","227","74100","227"
"2019-02-21","228","228","225","228","67000","228"
"2019-02-22","226","228","225","228","46400","228"
"2019-02-25","230","233","228","233","88500","233"
"2019-02-26","232","234","228","229","84600","229"
"2019-02-27","232","236","230","236","66400","236"
"2019-02-28","233","239","233","237","78600","237"
"2019-03-01","238","241","238","239","89100","239"
"2019-03-04","240","243","240","241","46800","241"
"2019-03-05","237","243","237","243","63100","243"
"2019-03-06","242","244","239","243","52900","243"
"2019-03-07","242","242","238","239","73700","239"
"2019-03-08","235","236","229","232","154800","232"
"2019-03-11","247","250","238","250","346500","250"
"2019-03-12","255","257","251","257","165400","257"
"2019-03-13","258","271","257","271","344300","271"
"2019-03-14","275","276","268","268","259000","268"
"2019-03-15","269","272","267","270","114000","270"
"2019-03-18","273","274","269","273","164900","273"
"2019-03-19","275","275","270","272","104600","272"
"2019-03-20","304","320","304","311","1932300","311"
"2019-03-22","311","333","310","333","1057700","333"
"2019-03-25","332","347","326","347","929900","347"
"2019-03-26","350","351","328","329","1012700","329"
"2019-03-27","329","329","313","318","606500","318"
"2019-03-28","318","318","305","306","550100","306"
"2019-03-29","305","317","303","316","316000","316"
"2019-04-01","316","316","311","312","121400","312"
"2019-04-02","311","311","305","307","148900","307"
"2019-04-03","303","308","303","306","132700","306"
"2019-04-04","304","319","304","317","250800","317"
"2019-04-05","316","323","315","321","137800","321"
"2019-04-08","323","324","319","323","114100","323"
"2019-04-09","321","322","315","316","180100","316"
"2019-04-10","314","316","311","316","70400","316"
"2019-04-11","316","317","312","314","78700","314"
"2019-04-12","315","321","314","321","127300","321"
"2019-04-15","322","327","321","325","186200","325"
"2019-04-16","326","327","320","321","62300","321"
"2019-04-17","323","325","318","323","104600","323"
"2019-04-18","322","323","318","318","58200","318"
"2019-04-19","320","322","316","319","58500","319"
"2019-04-22","319","321","314","314","117200","314"
"2019-04-23","311","313","306","309","122100","309"
"2019-04-24","312","319","311","311","73900","311"
"2019-04-25","313","316","310","312","72900","312"
"2019-04-26","310","313","306","313","93300","313"
"2019-05-07","312","318","310","318","73900","318"
"2019-05-08","315","316","312","315","58600","315"
"2019-05-09","313","315","301","306","177900","306"
"2019-05-10","305","316","305","310","109000","310"
"2019-05-13","308","314","305","314","97100","314"
"2019-05-14","308","315","306","314","144700","314"
"2019-05-15","315","320","312","319","217500","319"
"2019-05-16","321","323","307","310","418000","310"
"2019-05-17","315","333","314","333","574700","333"
"2019-05-20","340","353","336","352","695500","352"
"2019-05-21","350","360","348","353","358400","353"
"2019-05-22","350","355","344","345","326500","345"
"2019-05-23","346","346","335","340","238700","340"
"2019-05-24","335","347","335","347","153200","347"
"2019-05-27","354","354","340","346","189600","346"
"2019-05-28","345","354","334","338","593700","338"
"2019-05-29","335","342","335","342","115000","342"
"2019-05-30","341","346","341","344","106200","344"
"2019-05-31","351","372","351","369","1150400","369"
"2019-06-03","367","369","342","342","1085900","342"
"2019-06-04","341","347","336","347","571100","347"
"2019-06-05","347","367","347","360","532100","360"
"2019-06-06","364","364","352","358","273800","358"
"2019-06-07","358","363","357","357","180400","357"
"2019-06-10","360","362","357","359","185100","359"
"2019-06-11","360","360","354","354","124900","354"
"2019-06-12","353","354","341","342","211400","342"
"2019-06-13","346","349","342","346","173600","346"
"2019-06-14","349","360","349","359","406400","359"
"2019-06-17","361","363","347","349","428900","349"
"2019-06-18","354","368","353","353","1107700","353"
"2019-06-19","357","358","350","355","344200","355"
"2019-06-20","357","370","351","368","730400","368"
"2019-06-21","368","375","365","366","533200","366"
"2019-06-24","368","368","349","353","963700","353"
"2019-06-25","355","355","340","340","488600","340"
"2019-06-26","342","344","337","340","280200","340"
"2019-06-27","341","344","334","342","373700","342"
"2019-06-28","344","344","340","343","90300","343"
"2019-07-01","347","355","347","352","411200","352"
"2019-07-02","354","355","345","345","183200","345"
"2019-07-03","345","346","340","343","266800","343"
"2019-07-04","342","344","339","342","284000","342"
"2019-07-05","343","348","341","348","150400","348"
"2019-07-08","347","347","342","343","163800","343"
"2019-07-09","343","344","342","343","50700","343"
"2019-07-10","344","349","341","349","137200","349"
"2019-07-11","348","352","345","350","148000","350"
"2019-07-12","352","352","345","345","128700","345"
"2019-07-16","346","347","343","344","79800","344"
"2019-07-17","343","343","340","341","112800","341"
"2019-07-18","342","342","336","338","160100","338"
"2019-07-19","340","343","340","340","75800","340"
"2019-07-22","342","342","338","341","51900","341"
"2019-07-23","341","345","340","345","120100","345"
"2019-07-24","345","349","344","349","94800","349"
"2019-07-25","350","358","347","356","220000","356"
"2019-07-26","357","357","351","352","246600","352"
"2019-07-29","354","355","350","351","57800","351"
"2019-07-30","353","359","353","358","239500","358"
"2019-07-31","356","361","355","360","201100","360"
"2019-08-01","360","365","357","363","141200","363"
"2019-08-02","360","361","351","356","279000","356"
"2019-08-05","356","360","351","356","244900","356"
"2019-08-06","345","358","342","357","328100","357"
"2019-08-07","360","365","359","363","219100","363"
"2019-08-08","366","366","360","360","171600","360"
"2019-08-09","363","365","359","360","142300","360"
"2019-08-13","359","361","353","359","113100","359"
"2019-08-14","360","362","356","358","158700","358"
"2019-08-15","353","356","351","356","162300","356"
"2019-08-16","356","358","352","354","129100","354"
"2019-08-19","359","364","358","360","162300","360"
"2019-08-20","360","366","360","364","156200","364"
"2019-08-21","361","364","357","358","76600","358"
"2019-08-22","361","361","355","355","68100","355"
