1898 東証1部 世紀東急工業(株)（建設業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","600","604","592","604","157800","604"
"2019-01-07","616","617","611","617","165100","617"
"2019-01-08","618","619","613","615","115600","615"
"2019-01-09","619","619","611","612","78600","612"
"2019-01-10","612","612","608","612","101900","612"
"2019-01-11","614","614","608","613","106600","613"
"2019-01-15","614","619","603","618","114000","618"
"2019-01-16","616","616","610","611","63800","611"
"2019-01-17","614","620","614","619","86500","619"
"2019-01-18","620","632","618","625","169500","625"
"2019-01-21","628","630","625","627","111400","627"
"2019-01-22","627","628","621","625","58700","625"
"2019-01-23","620","620","614","614","144500","614"
"2019-01-24","614","616","611","615","107500","615"
"2019-01-25","615","618","612","613","131900","613"
"2019-01-28","618","618","611","611","96400","611"
"2019-01-29","613","613","609","612","77000","612"
"2019-01-30","615","615","610","610","101400","610"
"2019-01-31","617","618","610","612","170900","612"
"2019-02-01","610","613","608","613","115600","613"
"2019-02-04","617","625","616","625","133300","625"
"2019-02-05","624","632","624","625","113900","625"
"2019-02-06","627","630","620","622","104400","622"
"2019-02-07","622","622","610","614","140900","614"
"2019-02-08","608","615","606","607","197200","607"
"2019-02-12","613","618","609","617","137700","617"
"2019-02-13","618","620","613","616","136100","616"
"2019-02-14","615","621","615","620","69200","620"
"2019-02-15","620","620","613","620","61700","620"
"2019-02-18","629","631","626","630","73900","630"
"2019-02-19","628","633","626","626","75500","626"
"2019-02-20","630","637","628","633","102800","633"
"2019-02-21","633","634","625","625","105400","625"
"2019-02-22","626","630","623","627","79600","627"
"2019-02-25","629","632","627","629","74200","629"
"2019-02-26","630","632","626","629","57000","629"
"2019-02-27","632","636","629","633","140300","633"
"2019-02-28","638","644","635","640","88300","640"
"2019-03-01","642","646","639","645","103800","645"
"2019-03-04","648","649","642","644","79100","644"
"2019-03-05","640","642","636","638","79000","638"
"2019-03-06","636","639","629","630","122700","630"
"2019-03-07","624","627","623","626","105900","626"
"2019-03-08","602","608","599","603","312400","603"
"2019-03-11","603","606","603","605","88000","605"
"2019-03-12","607","610","606","607","122500","607"
"2019-03-13","607","609","599","599","200500","599"
"2019-03-14","600","602","598","598","102100","598"
"2019-03-15","600","603","600","601","108300","601"
"2019-03-18","600","605","600","605","141400","605"
"2019-03-19","605","605","600","603","109800","603"
"2019-03-20","603","604","600","600","101100","600"
"2019-03-22","601","607","600","607","144900","607"
"2019-03-25","603","604","595","603","171000","603"
"2019-03-26","608","617","606","617","254000","617"
"2019-03-27","589","601","589","600","195200","600"
"2019-03-28","597","599","590","591","91300","591"
"2019-03-29","594","595","589","589","57800","589"
"2019-04-01","586","598","586","594","135100","594"
"2019-04-02","596","599","590","590","97800","590"
"2019-04-03","590","591","585","590","70200","590"
"2019-04-04","588","594","587","590","109500","590"
"2019-04-05","590","594","587","590","46400","590"
"2019-04-08","590","591","585","586","60500","586"
"2019-04-09","589","589","582","585","71100","585"
"2019-04-10","582","584","579","580","66000","580"
"2019-04-11","580","580","571","573","113300","573"
"2019-04-12","575","575","569","571","60400","571"
"2019-04-15","572","581","572","581","121700","581"
"2019-04-16","580","585","578","582","54900","582"
"2019-04-17","580","583","579","580","45000","580"
"2019-04-18","578","580","569","570","82800","570"
"2019-04-19","571","574","567","569","41500","569"
"2019-04-22","569","571","563","569","57400","569"
"2019-04-23","569","572","568","571","82900","571"
"2019-04-24","572","573","562","563","75500","563"
"2019-04-25","562","566","556","566","96400","566"
"2019-04-26","567","568","557","567","84200","567"
"2019-05-07","574","579","566","576","105400","576"
"2019-05-08","575","575","564","568","100300","568"
"2019-05-09","564","611","547","607","418100","607"
"2019-05-10","603","614","594","600","244900","600"
"2019-05-13","600","600","583","589","129200","589"
"2019-05-14","573","584","569","582","120600","582"
"2019-05-15","585","590","581","590","118600","590"
"2019-05-16","590","591","585","588","107100","588"
"2019-05-17","591","598","590","596","85000","596"
"2019-05-20","596","614","595","611","170600","611"
"2019-05-21","611","612","605","612","80200","612"
"2019-05-22","613","617","611","612","63200","612"
"2019-05-23","612","612","598","599","101100","599"
"2019-05-24","599","605","594","604","77500","604"
"2019-05-27","614","620","609","619","92200","619"
"2019-05-28","623","623","615","617","81100","617"
"2019-05-29","617","622","614","615","95300","615"
"2019-05-30","612","621","612","620","59700","620"
"2019-05-31","621","628","614","616","101800","616"
"2019-06-03","606","618","606","615","85400","615"
"2019-06-04","615","618","609","617","67900","617"
"2019-06-05","623","624","613","620","79400","620"
"2019-06-06","617","619","607","607","82000","607"
"2019-06-07","621","621","610","615","93800","615"
"2019-06-10","616","618","611","614","75900","614"
"2019-06-11","612","620","610","620","72100","620"
"2019-06-12","619","621","617","619","57400","619"
"2019-06-13","618","621","610","615","95000","615"
"2019-06-14","621","624","617","621","108600","621"
"2019-06-17","622","623","612","615","57700","615"
"2019-06-18","619","624","610","611","75300","611"
"2019-06-19","618","629","617","629","95100","629"
"2019-06-20","630","637","628","633","131100","633"
"2019-06-21","640","640","627","634","210200","634"
"2019-06-24","633","639","632","637","58400","637"
"2019-06-25","635","640","634","635","73500","635"
"2019-06-26","640","640","632","633","46900","633"
"2019-06-27","638","638","631","638","47900","638"
"2019-06-28","640","641","633","636","85400","636"
"2019-07-01","644","649","641","649","52400","649"
"2019-07-02","643","650","642","646","41200","646"
"2019-07-03","644","654","644","652","48900","652"
