4502 東証1部 武田薬品工業(株)（医薬品）,,,,,
"2016-07-07","4372","4442","4370","4398","1620800","4398"
"2016-07-08","4440","4443","4253","4253","3089300","4253"
"2016-07-11","4365","4430","4361","4383","2054300","4383"
"2016-07-12","4444","4488","4415","4426","2347800","4426"
"2016-07-13","4480","4480","4367","4377","3009400","4377"
"2016-07-14","4397","4447","4385","4427","2275500","4427"
"2016-07-15","4425","4425","4361","4375","2504100","4375"
"2016-07-19","4403","4464","4370","4464","2175100","4464"
"2016-07-20","4465","4480","4437","4480","1866300","4480"
"2016-07-21","4516","4538","4496","4512","2127300","4512"
"2016-07-22","4476","4512","4424","4458","2124000","4458"
"2016-07-25","4514","4585","4497","4566","2661000","4566"
"2016-07-26","4565","4565","4496","4513","2458600","4513"
"2016-07-27","4535","4580","4524","4548","2361000","4548"
"2016-07-28","4552","4564","4516","4533","2059300","4533"
"2016-07-29","4550","4594","4492","4588","3141900","4588"
"2016-08-01","4623","4804","4605","4800","4586300","4800"
"2016-08-02","4780","4818","4769","4778","2469700","4778"
"2016-08-03","4700","4767","4693","4722","2318000","4722"
"2016-08-04","4724","4750","4658","4734","2541100","4734"
"2016-08-05","4691","4710","4611","4629","2232000","4629"
"2016-08-08","4670","4699","4653","4694","1415100","4694"
"2016-08-09","4750","4783","4726","4765","2078900","4765"
"2016-08-10","4735","4772","4720","4764","1859200","4764"
"2016-08-12","4785","4808","4774","4808","2589900","4808"
"2016-08-15","4785","4785","4711","4717","1526300","4717"
"2016-08-16","4717","4724","4651","4652","1926100","4652"
"2016-08-17","4650","4702","4640","4690","1464200","4690"
"2016-08-18","4646","4650","4540","4540","2437600","4540"
"2016-08-19","4548","4579","4516","4530","1680500","4530"
"2016-08-22","4525","4569","4525","4545","1338300","4545"
"2016-08-23","4543","4583","4526","4541","1781600","4541"
"2016-08-24","4516","4573","4516","4563","1519800","4563"
"2016-08-25","4550","4566","4530","4541","1666900","4541"
"2016-08-26","4530","4536","4489","4489","1958900","4489"
"2016-08-29","4579","4592","4526","4561","1477800","4561"
"2016-08-30","4559","4584","4550","4552","1166400","4552"
"2016-08-31","4598","4599","4555","4560","1751500","4560"
"2016-09-01","4601","4675","4581","4664","2104700","4664"
"2016-09-02","4680","4715","4668","4710","1747200","4710"
"2016-09-05","4758","4771","4723","4756","1547900","4756"
"2016-09-06","4733","4757","4727","4734","1458300","4734"
"2016-09-07","4724","4727","4679","4708","1784300","4708"
"2016-09-08","4690","4690","4639","4680","1798500","4680"
"2016-09-09","4700","4730","4695","4710","2900800","4710"
"2016-09-12","4680","4685","4648","4668","1999400","4668"
"2016-09-13","4700","4744","4689","4713","1532200","4713"
"2016-09-14","4713","4724","4628","4640","2504300","4640"
"2016-09-15","4605","4624","4560","4565","2084200","4565"
"2016-09-16","4579","4608","4557","4597","1944100","4597"
"2016-09-20","4562","4678","4561","4644","2081300","4644"
"2016-09-21","4691","4775","4629","4764","3077100","4764"
"2016-09-23","4770","4810","4745","4805","2423400","4805"
"2016-09-26","4813","4844","4813","4841","2665200","4841"
"2016-09-27","4831","4897","4824","4896","3957300","4896"
"2016-09-28","4790","4860","4788","4858","2939800","4858"
"2016-09-29","4857","4872","4825","4845","1999300","4845"
"2016-09-30","4797","4860","4714","4823","2673500","4823"
"2016-10-03","4852","4875","4824","4827","2276000","4827"
"2016-10-04","4841","4857","4803","4851","1643000","4851"
"2016-10-05","4860","4865","4821","4850","1526000","4850"
"2016-10-06","4854","4859","4831","4850","1546000","4850"
"2016-10-07","4860","4877","4831","4867","1540500","4867"
"2016-10-11","4884","4942","4870","4904","2045300","4904"
"2016-10-12","4855","4881","4838","4851","1875000","4851"
"2016-10-13","4830","4858","4819","4855","1679000","4855"
"2016-10-17","4783","4830","4761","4828","1551900","4828"
"2016-10-19","4813","4828","4795","4803","1829400","4803"
"2016-10-20","4790","4815","4782","4809","1745500","4809"
"2016-10-21","4829","4829","4777","4780","1282400","4780"
"2016-10-24","4780","4794","4762","4768","1388500","4768"
"2016-10-25","4765","4770","4730","4743","2247100","4743"
"2016-10-26","4735","4806","4733","4804","2041000","4804"
"2016-10-27","4797","4809","4758","4788","1428200","4788"
"2016-10-28","4768","4829","4768","4826","3450800","4826"
"2016-10-31","4765","4774","4671","4700","3928000","4700"
"2016-11-01","4701","4727","4680","4709","1509200","4709"
"2016-11-02","4612","4638","4505","4609","3681700","4609"
"2016-11-04","4621","4621","4532","4558","2565500","4558"
"2016-11-07","4608","4613","4535","4540","2321400","4540"
"2016-11-08","4565","4565","4460","4463","3207100","4463"
"2016-11-09","4491","4544","4321","4356","4533100","4356"
"2016-11-10","4576","4589","4511","4584","3453200","4584"
"2016-11-11","4625","4684","4595","4638","2969900","4638"
"2016-11-14","4651","4651","4585","4595","2288200","4595"
"2016-11-15","4614","4653","4597","4653","1746100","4653"
"2016-11-16","4688","4700","4651","4692","1950700","4692"
"2016-11-17","4691","4725","4681","4718","1557300","4718"
"2016-11-18","4723","4736","4651","4652","2300800","4652"
"2016-11-21","4660","4717","4655","4697","1815100","4697"
"2016-11-22","4660","4745","4660","4738","2381900","4738"
"2016-11-24","4757","4758","4664","4666","2916600","4666"
"2016-11-25","4689","4727","4675","4699","1839200","4699"
"2016-11-28","4689","4750","4672","4742","2179300","4742"
"2016-11-29","4726","4748","4709","4733","2378900","4733"
"2016-11-30","4725","4727","4660","4685","6355900","4685"
"2016-12-01","4725","4725","4657","4670","3068500","4670"
"2016-12-02","4650","4696","4634","4678","2482300","4678"
"2016-12-05","4651","4684","4615","4622","1967600","4622"
"2016-12-06","4638","4653","4623","4645","2417600","4645"
"2016-12-07","4650","4651","4581","4603","2578000","4603"
"2016-12-08","4603","4608","4555","4575","3300500","4575"
"2016-12-09","4590","4711","4580","4696","4538300","4696"
"2016-12-12","4735","4773","4715","4748","2684400","4748"
"2016-12-13","4772","4853","4770","4853","3002800","4853"
"2016-12-14","4848","4858","4775","4801","2535900","4801"
"2016-12-15","4801","4804","4760","4782","2349700","4782"
"2016-12-16","4800","4804","4772","4786","2463000","4786"
"2016-12-19","4800","4836","4799","4820","1885800","4820"
"2016-12-20","4800","4846","4794","4834","1986600","4834"
"2016-12-21","4835","4847","4802","4806","1707500","4806"
"2016-12-22","4800","4827","4794","4827","1987000","4827"
"2016-12-26","4832","4870","4831","4855","1814500","4855"
"2016-12-27","4858","4887","4850","4851","1409100","4851"
"2016-12-28","4870","4870","4843","4849","1196700","4849"
"2016-12-29","4843","4847","4801","4811","1684300","4811"
"2016-12-30","4801","4841","4785","4835","1687400","4835"
