7751 東証1部 キヤノン(株)（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","4249","4279","4240","4279","5603500","4279"
"2018-01-05","4282","4286","4240","4262","5013000","4262"
"2018-01-09","4300","4359","4291","4358","7659100","4358"
"2018-01-10","4337","4352","4308","4332","3714400","4332"
"2018-01-11","4301","4337","4299","4336","3614400","4336"
"2018-01-12","4317","4324","4274","4281","4754500","4281"
"2018-01-15","4310","4324","4305","4319","2637800","4319"
"2018-01-16","4318","4332","4315","4331","2468800","4331"
"2018-01-17","4320","4338","4310","4334","2882200","4334"
"2018-01-18","4348","4370","4293","4304","4373700","4304"
"2018-01-19","4321","4341","4316","4331","2679900","4331"
"2018-01-22","4326","4359","4324","4359","3302800","4359"
"2018-01-23","4356","4372","4350","4369","3818900","4369"
"2018-01-24","4350","4352","4328","4336","2518900","4336"
"2018-01-25","4275","4301","4257","4296","3559000","4296"
"2018-01-26","4317","4325","4277","4280","2363900","4280"
"2018-01-29","4280","4288","4261","4266","2684700","4266"
"2018-01-30","4260","4270","4221","4243","4008900","4243"
"2018-01-31","4303","4378","4300","4349","9388100","4349"
"2018-02-01","4360","4366","4316","4360","3902800","4360"
"2018-02-02","4337","4395","4335","4389","6047100","4389"
"2018-02-05","4301","4309","4241","4246","5483600","4246"
"2018-02-06","4100","4117","4032","4091","9141100","4091"
"2018-02-07","4169","4211","4056","4058","7504400","4058"
"2018-02-08","4074","4105","4062","4081","4350900","4081"
"2018-02-09","3960","3995","3953","3973","6087900","3973"
"2018-02-13","3973","4009","3926","3935","5778900","3935"
"2018-02-14","3998","4003","3888","3901","5056800","3901"
"2018-02-15","3941","3973","3936","3954","3919200","3954"
"2018-02-16","3993","4008","3965","3971","4446000","3971"
"2018-02-19","3983","4004","3973","3996","2440400","3996"
"2018-02-20","3989","3998","3940","3953","3055200","3953"
"2018-02-21","3991","4015","3968","4002","4030600","4002"
"2018-02-22","3990","3996","3933","3941","3582300","3941"
"2018-02-23","3944","3971","3928","3966","2619700","3966"
"2018-02-26","4020","4042","4010","4033","2859100","4033"
"2018-02-27","4084","4127","4069","4121","4336500","4121"
"2018-02-28","4150","4178","4096","4096","4886900","4096"
"2018-03-01","4070","4081","4006","4021","3736600","4021"
"2018-03-02","3961","3985","3914","3924","4880800","3924"
"2018-03-05","3902","3915","3878","3895","3220300","3895"
"2018-03-06","3949","3970","3901","3903","3513500","3903"
"2018-03-07","3884","3911","3860","3861","4366800","3861"
"2018-03-08","3900","3905","3860","3869","3290400","3869"
"2018-03-09","3907","3935","3855","3880","5834300","3880"
"2018-03-12","3944","3972","3931","3959","2677100","3959"
"2018-03-13","3968","3978","3945","3970","2814200","3970"
"2018-03-14","3945","3974","3931","3957","3829900","3957"
"2018-03-15","3933","3954","3911","3947","2635600","3947"
"2018-03-16","3949","3950","3891","3910","4197700","3910"
"2018-03-19","3910","3926","3852","3876","3279600","3876"
"2018-03-20","3869","3884","3836","3859","3860600","3859"
"2018-03-22","4023","4030","3910","3945","6894400","3945"
"2018-03-23","3859","3859","3791","3800","7073100","3800"
"2018-03-26","3802","3829","3774","3806","5484500","3806"
"2018-03-27","3820","3849","3784","3848","5545000","3848"
"2018-03-28","3820","3858","3810","3850","5297400","3850"
