1898 東証1部 世紀東急工業(株)（建設業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","660","663","645","653","280400","653"
"2018-01-05","655","656","645","651","221100","651"
"2018-01-09","655","662","652","660","300900","660"
"2018-01-10","661","670","660","665","280800","665"
"2018-01-11","662","672","662","671","161600","671"
"2018-01-12","670","672","666","669","163300","669"
"2018-01-15","670","674","665","666","188400","666"
"2018-01-16","670","672","660","661","231200","661"
"2018-01-17","650","659","643","643","434800","643"
"2018-01-18","647","650","635","636","340000","636"
"2018-01-19","634","651","634","647","162400","647"
"2018-01-22","652","654","645","650","97400","650"
"2018-01-23","652","657","650","651","92600","651"
"2018-01-24","652","654","646","648","138000","648"
"2018-01-25","647","651","643","646","81800","646"
"2018-01-26","647","654","647","650","119100","650"
"2018-01-29","652","658","646","655","147900","655"
"2018-01-30","659","661","645","647","192000","647"
"2018-01-31","647","650","638","638","183000","638"
"2018-02-01","640","646","639","645","143400","645"
"2018-02-02","652","659","650","652","209900","652"
"2018-02-05","650","653","648","650","291100","650"
"2018-02-06","630","632","612","623","565200","623"
"2018-02-07","636","644","607","609","357700","609"
"2018-02-08","620","637","620","634","415300","634"
"2018-02-09","623","643","620","640","313900","640"
"2018-02-13","649","662","646","658","456100","658"
"2018-02-14","660","666","650","660","333800","660"
"2018-02-15","666","684","663","673","398400","673"
"2018-02-16","675","683","672","678","253300","678"
"2018-02-19","680","703","679","702","427400","702"
"2018-02-20","701","708","692","707","294500","707"
"2018-02-21","700","715","699","711","316900","711"
"2018-02-22","703","707","692","702","159500","702"
"2018-02-23","706","724","700","723","414600","723"
"2018-02-26","723","739","717","732","444900","732"
"2018-02-27","741","747","725","731","309800","731"
"2018-02-28","725","731","717","719","256700","719"
"2018-03-01","718","721","699","701","354500","701"
"2018-03-02","692","707","691","694","273000","694"
"2018-03-05","692","699","686","689","282900","689"
"2018-03-06","695","700","689","690","320800","690"
"2018-03-07","689","705","688","696","442900","696"
"2018-03-08","697","699","691","693","264700","693"
"2018-03-09","701","705","691","692","283400","692"
"2018-03-12","696","702","695","696","204300","696"
"2018-03-13","694","701","693","701","184200","701"
"2018-03-14","697","707","697","705","160300","705"
"2018-03-15","701","701","692","693","231700","693"
"2018-03-16","695","699","693","695","191200","695"
"2018-03-19","695","702","692","695","239400","695"
"2018-03-20","691","700","683","696","191600","696"
"2018-03-22","699","703","693","700","142800","700"
"2018-03-23","690","690","680","681","220700","681"
"2018-03-26","682","685","672","681","202400","681"
"2018-03-27","682","705","682","705","193100","705"
"2018-03-28","687","708","687","707","142000","707"
"2018-03-29","715","715","691","700","182400","700"
"2018-03-30","702","702","684","688","226000","688"
"2018-04-02","696","696","682","683","125700","683"
"2018-04-03","679","689","669","685","137500","685"
"2018-04-04","690","697","689","691","134300","691"
"2018-04-05","692","699","690","695","139100","695"
"2018-04-06","690","697","687","687","117700","687"
"2018-04-09","686","696","684","693","174900","693"
"2018-04-10","690","698","690","696","143900","696"
"2018-04-11","695","702","692","700","139000","700"
"2018-04-12","704","712","697","698","200800","698"
"2018-04-13","703","703","695","699","205400","699"
"2018-04-16","700","703","694","699","156800","699"
"2018-04-17","699","699","678","684","202700","684"
"2018-04-18","685","699","685","697","143500","697"
"2018-04-19","698","716","695","711","350200","711"
"2018-04-20","709","710","702","703","81900","703"
"2018-04-23","700","700","692","693","136300","693"
"2018-04-24","694","703","691","702","116600","702"
"2018-04-25","702","717","701","712","127900","712"
"2018-04-26","714","719","704","719","122800","719"
"2018-04-27","719","719","700","704","107200","704"
"2018-05-01","710","710","697","706","133800","706"
"2018-05-02","704","709","696","705","136800","705"
"2018-05-07","703","720","700","717","151000","717"
"2018-05-08","710","724","710","722","250400","722"
"2018-05-09","723","723","707","717","130800","717"
"2018-05-10","717","717","706","711","124000","711"
"2018-05-11","728","747","721","735","547700","735"
"2018-05-14","740","757","735","753","276200","753"
"2018-05-15","750","757","742","756","301300","756"
"2018-05-16","750","755","743","755","203400","755"
"2018-05-17","756","768","747","763","283500","763"
"2018-05-18","765","767","758","760","194200","760"
"2018-05-21","769","779","765","775","329000","775"
"2018-05-22","784","789","775","778","184200","778"
"2018-05-23","790","793","781","787","421700","787"
"2018-05-24","790","795","781","783","297000","783"
"2018-05-25","789","789","768","768","191500","768"
"2018-05-28","777","782","758","761","169300","761"
"2018-05-29","767","767","750","761","152100","761"
"2018-05-30","754","761","749","753","180200","753"
"2018-05-31","755","762","750","755","194200","755"
"2018-06-01","762","774","758","769","216100","769"
"2018-06-04","773","785","773","782","237400","782"
"2018-06-05","788","800","781","797","238000","797"
"2018-06-06","792","792","760","770","377900","770"
"2018-06-07","783","800","780","796","273300","796"
"2018-06-08","767","786","767","776","215300","776"
"2018-06-11","777","777","767","770","192600","770"
"2018-06-12","770","777","763","764","102200","764"
"2018-06-13","764","767","750","755","186100","755"
"2018-06-14","755","767","749","751","220500","751"
"2018-06-15","757","757","744","750","145700","750"
"2018-06-18","756","756","741","748","200400","748"
"2018-06-19","750","761","739","739","133900","739"
"2018-06-20","740","750","730","748","148000","748"
"2018-06-21","745","753","735","735","160000","735"
"2018-06-22","730","738","727","731","177700","731"
"2018-06-25","726","735","711","713","143900","713"
"2018-06-26","709","726","706","726","96000","726"
"2018-06-27","725","733","719","725","116800","725"
"2018-06-28","726","727","719","721","83600","721"
"2018-06-29","721","728","713","724","64800","724"
"2018-07-02","724","728","710","711","71700","711"
"2018-07-03","711","713","701","703","88600","703"
"2018-07-04","704","715","697","711","67000","711"
"2018-07-05","710","710","692","695","124800","695"
"2018-07-06","696","706","694","705","67700","705"
"2018-07-09","714","714","700","711","83400","711"
"2018-07-10","711","722","710","714","86200","714"
"2018-07-11","714","717","704","709","90800","709"
"2018-07-12","711","713","706","710","63800","710"
